Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM)
Aerospace & Defense,ACHR,"3,562 M",8.28,($1.22),$1.10,($1.32),-107.62,-51.717,1.393
Aerospace & Defense,AIR,"2,428 M",67.63,$0.43,$34.31,$1.81,5.5657,4.3744,2.2999
Aerospace & Defense,ASLE,330 M,6.20,($0.97),$8.49,($0.02),.0923,.4063,1.3321
Aerospace & Defense,ATRO,580 M,16.44,($0.13),$7.11,($0.18),-2.6606,2.1821,2.6147
Aerospace & Defense,AVAV,"4,607 M",163.33,$1.24,$30.19,$2.11,8.3005,4.8222,1.1817
Aerospace & Defense,AXON,"52,440 M",687.69,$2.91,$27.60,$3.85,16.424,2.2845,1.9076
Aerospace & Defense,BA,"115,167 M",153.93,($11.97),($38.12),($12.99),39.713,-2.6652,-5.8464
Aerospace & Defense,BDRBF,"7,463 M",75.640,$0.43,($23.75),$4.39,-20.645,4.1478,-5.4076
Aerospace & Defense,BWXT,"11,523 M",126.01,$2.20,$11.58,$3.02,28.751,7.4376,2.7839
Aerospace & Defense,BYRN,437 M,19.43,$0.45,$1.98,$0.10,5.2811,1.966,1.3248
Aerospace & Defense,CAE,"7,490 M",23.51,$0.30,$10.17,($0.80),-7.3681,2.7872,2.3109
Aerospace & Defense,CDRE,"1,443 M",35.53,$0.72,$7.39,$0.83,13.357,7.3902,2.0535
Aerospace & Defense,CW,"14,269 M",376.01,$12.42,$65.61,$10.58,17.41,7.7027,1.9618
Aerospace & Defense,DCO,941 M,63.67,$1.93,$45.04,$2.00,4.5859,3.3266,1.6977
Aerospace & Defense,DRS,"9,796 M",37.05,$1.02,$9.36,$0.74,8.3969,4.7696,1.5606
Aerospace & Defense,EH,959 M,15.09,($0.23),$1.54,($0.56),-49.728,-17.377,1.8598
Aerospace & Defense,ERJ,"6,950 M",37.84,$0.14,$4.27,$0.65,16.434,2.342,3.7243
Aerospace & Defense,EVEX,"1,327 M",4.46,($0.45),$0.55,($0.49),-74.78,-35.238,1.769
Aerospace & Defense,GD,"74,736 M",271.80,$8.33,$83.68,$13.12,16.953,5.1144,2.4947
Aerospace & Defense,GE,"190,029 M",175.58,$4.41,$17.44,$5.00,22.552,3.0173,6.7128
Aerospace & Defense,HEI,"36,552 M",263.73,$4.03,$25.54,$3.41,14.435,7.8642,2.0968
Aerospace & Defense,HII,"7,354 M",187.95,$4.63,$107.41,$17.73,17.666,4.2678,2.6367
Aerospace & Defense,HWM,"48,065 M",118.31,$2.44,$10.93,$2.60,25.719,9.0474,2.3737
Aerospace & Defense,HXL,"5,067 M",62.55,$2.46,$19.62,$1.30,6.6815,4.9793,1.8008
Aerospace & Defense,KTOS,"4,229 M",27.99,$0.05,$8.89,$0.10,1.5373,1.3666,1.4241
Aerospace & Defense,LHX,"44,504 M",234.64,$9.45,$100.23,$6.33,6.2576,3.5533,2.2049
Aerospace & Defense,LMT,"121,606 M",513.03,$27.07,$30.51,$27.67,81.037,9.9923,7.7111
Aerospace & Defense,LOAR,"8,253 M",92.00,$0.40,$8.58,$0.20,-1.0986,4.5542,1.9122
Aerospace & Defense,LUNR,"1,004 M",12.42,($1.89),($6.20),($2.79),539.21,-15.483,-.45248
Aerospace & Defense,MRCY,"2,285 M",38.32,$0.45,$25.35,($2.38),-7.8954,-2.6513,1.6153
Aerospace & Defense,NOC,"69,009 M",473.65,$16.77,$101.14,$15.99,15.484,4.161,3.2743
Aerospace & Defense,NPK,629 M,88.54,($4.66),$48.81,$4.76,9.8328,5.1217,1.2375
Aerospace & Defense,PKE,299 M,14.98,$0.38,$5.58,$0.37,6.2178,4.5347,1.1718
Aerospace & Defense,RDW,936 M,14.07,($0.28),($1.45),($1.21),-160.53,-5.7512,-3.0071
Aerospace & Defense,RKLB,"12,338 M",24.68,($0.29),$0.84,($0.38),-37.454,-11.061,2.7464
Aerospace & Defense,RTX,"157,047 M",117.99,$5.47,$45.92,$3.51,7.3464,3.1652,2.697
Aerospace & Defense,SARO,"9,515 M",28.45,<empty>,<empty>,<empty>,-2.9893,3.6872,5.2061
Aerospace & Defense,SPR,"3,766 M",32.21,($11.47),($16.64),($12.43),102.63,-9.5797,-3.6319
Aerospace & Defense,TDG,"71,931 M",1279.21,$32.53,($111.89),$25.62,-41.52,9.8697,-4.0677
Aerospace & Defense,TGI,"1,470 M",19.00,($0.81),($1.23),($0.17),3.4985,4.9836,-15.879
Aerospace & Defense,TXT,"15,334 M",82.66,$3.81,$37.47,$4.56,12.598,4.7922,2.3669
Aerospace & Defense,VVX,"1,931 M",61.17,$2.06,$31.77,$0.28,.9197,2.9222,3.1181
Aerospace & Defense,WWD,"10,626 M",179.71,$5.71,$36.78,$6.01,17.562,6.5649,2.0074
Building Products,AAON,"11,156 M",137.25,$1.27,$9.81,$2.28,25.811,15.98,1.2934
Building Products,ALLE,"12,213 M",140.49,$6.68,$18.07,$6.50,40.822,10.704,3.166
Building Products,AMWD,"1,346 M",89.39,$3.83,$60.36,$6.67,11.636,6.2367,1.7508
Building Products,AOS,"10,528 M",72.61,$3.29,$13.22,$3.79,29.544,14.337,1.6456
Building Products,APOG,"1,821 M",82.97,$7.36,$21.32,$4.74,22.219,10.788,1.8769
Building Products,AWI,"6,877 M",157.78,$3.64,$16.42,$5.66,38.311,9.8427,2.516
Building Products,AZEK,"7,753 M",54.21,$1.01,$9.49,$1.04,11.086,5.9594,1.5976
Building Products,AZZ,"2,850 M",95.40,$5.01,$33.46,$1.08,12.622,6.6778,2.2409
Building Products,BLDR,"20,234 M",175.82,$14.42,$38.48,$10.23,27.435,10.295,2.45
Building Products,CARR,"66,099 M",73.67,$1.06,$16.37,$1.70,13.931,4.1763,2.7361
Building Products,CSL,"19,945 M",440.01,$19.55,$61.03,$18.64,31.456,10.964,2.3448
Building Products,CSWI,"6,992 M",415.77,$11.62,$61.36,$7.36,14.1,9.5261,1.3195
Building Products,FBIN,"9,798 M",78.87,$3.21,$19.29,$3.55,19.42,7.2636,2.754
Building Products,GFF,"3,892 M",81.38,$6.49,$4.66,$4.23,77.721,11.493,10.543
Building Products,HAYW,"3,458 M",16.05,$1.01,$6.37,$0.43,7.1572,4.2714,2.1045
Building Products,IIIN,574 M,29.50,$2.00,$18.04,$0.99,5.2719,2.8792,1.2044
Building Products,JBI,"1,037 M",7.35,$1.04,$3.73,$0.72,21.019,9.7852,2.4592
Building Products,JCI,"55,849 M",84.34,$2.38,$24.29,$2.08,8.0502,3.6188,2.6522
Building Products,JELD,911 M,10.77,$0.02,$8.51,($1.67),-18.212,1.176,3.9355
Building Products,LII,"23,551 M",661.12,$19.42,$21.16,$21.04,165.01,19.367,4.3942
Building Products,MAS,"17,478 M",81.01,$4.44,($0.41),$3.76,570.87,15.691,-60.182
Building Products,MBC,"2,107 M",16.58,$1.38,$10.13,$1.14,12.111,6.5303,2.299
Building Products,NX,"1,379 M",29.19,$2.72,$18.07,$2.25,13.277,6.2736,1.4684
Building Products,OC,"17,321 M",201.91,$15.17,$65.54,$11.72,19.126,8.6705,2.6772
Building Products,REZI,"4,006 M",27.26,$2.84,$19.55,$1.09,5.8343,4.9592,2.8325
