Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Media,LZMH,"4,023 M",26.50,<empty>,<empty>,<empty>,-12.016,-.5261,6.1434,
Interactive Media & Services,MNSKY,"1,529 M",11.50,<empty>,<empty>,<empty>,34.055,17.541,1.6784,
Media,MNTN,"1,942 M",25.23,<empty>,<empty>,<empty>,-52.915,-.4745,-2.1756,
Entertainment,STRZ,350 M,20.96,<empty>,<empty>,<empty>,-65.655,-.3468,2.4924,
Diversified Telecommunication Services,UDIRY,"5,187 M",30.01,<empty>,<empty>,<empty>,.9367,3.3042,2.4922,
Media,CHTR,"54,738 M",396.27,$32.16,$115.75,$35.86,33.116,5.6388,9.2912,
Interactive Media & Services,JOYY,"2,476 M",47.88,$3.87,$126.95,$31.00,27.333,.4362,1.1515,
Interactive Media & Services,META,"1,628,002 M",647.49,$20.68,$73.34,$25.59,39.835,17.88,1.5144,
Entertainment,NFLX,"513,762 M",1207.23,$17.38,$56.45,$21.15,40.842,13.789,2.1678,
Media,NXST,"5,138 M",170.42,$37.21,$74.02,$19.70,26.675,6.7693,5.0797,
Wireless Telecommunication Services,TMUS,"275,005 M",242.20,$10.28,$53.73,$10.25,19.351,5.5998,3.5125,
Interactive Media & Services,BIDU,"28,155 M",81.90,($0.04),$108.05,$10.01,9.374,2.9339,1.683,
Interactive Media & Services,GOOG,"2,097,492 M",172.85,$6.11,$28.41,$8.96,34.789,16.897,1.3768,
Interactive Media & Services,GOOGL,"2,084,022 M",171.74,$6.11,$28.41,$8.96,34.789,16.897,1.3768,
Media,OMC,"14,382 M",73.44,$7.23,$22.41,$7.32,31.022,5.2,6.4286,
Media,LBRDA,"13,315 M",92.90,($0.85),$70.13,$6.26,9.3211,.4085,1.6907,
Media,LBRDK,"13,444 M",93.80,($0.85),$70.13,$6.26,9.3211,.4085,1.6907,
Wireless Telecommunication Services,VEON,"3,741 M",52.95,$5.82,$19.64,$6.24,41.693,8.0733,5.9409,
Entertainment,SPOT,"136,391 M",665.14,$13.97,$32.96,$6.05,24.404,10.046,2.0309,
Entertainment,DIS,"203,217 M",113.04,$6.01,$57.93,$4.90,8.8938,4.4811,1.8769,
Entertainment,EA,"36,055 M",143.78,$7.09,$25.31,$4.25,16.131,7.6779,1.9367,
Diversified Telecommunication Services,VZ,"185,347 M",43.96,$4.78,$23.89,$4.20,18.416,5.1466,3.7764,
Media,CMCSA,"129,074 M",34.57,$3.50,$23.14,$4.07,18.049,5.4505,3.0907,
Media,FOX,"22,607 M",50.28,$5.20,$25.58,$4.03,16.621,8.3954,2.0273,
Media,FOXA,"24,702 M",54.94,$5.20,$25.58,$4.03,16.621,8.3954,2.0273,
Wireless Telecommunication Services,SKM,"7,879 M",20.54,$8.72,$37.68,$3.95,11.369,3.8093,2.5315,
Entertainment,KONMY,"18,436 M",68.00,$2.93,$22.92,$3.50,16.429,10.59,1.3802,
Entertainment,SOHU,302 M,10.06,($2.12),$36.45,$3.42,10.084,-3.5706,1.5574,
Diversified Telecommunication Services,IDT,"1,553 M",61.59,$1.39,$10.84,$3.15,32.236,10.025,2.1198,
Entertainment,LYV,"31,797 M",137.19,$5.97,$0.47,$2.97,68.506,4.1847,205.93,
Interactive Media & Services,RPGRY,"21,704 M",41.07,$2.39,$8.64,$2.89,35.684,18.038,1.4635,
Media,TGNA,"2,687 M",16.72,$3.60,$18.91,$2.83,15.93,6.4735,2.4028,
Entertainment,MSGE,"1,761 M",37.11,$2.50,$0.20,$2.72,-309.36,5.7882,182.6,
Interactive Media & Services,PINS,"21,050 M",31.11,$1.40,$6.93,$2.71,48.411,3.26,1.1267,
Wireless Telecommunication Services,PHI,"4,844 M",22.42,$1.36,$9.29,$2.54,28.449,5.719,5.4523,
Media,CRTO,"1,353 M",25.46,$4.13,$19.87,$2.44,13.453,5.7728,1.9988,
Media,GTN,404 M,3.97,$6.69,$23.33,$2.34,9.9214,4.9591,4.6309,
Diversified Telecommunication Services,QBCRF,"6,502 M",28.24,$2.69,$6.68,$2.29,35.319,7.001,5.8524,
Wireless Telecommunication Services,RCI,"14,441 M",26.84,$2.20,$13.73,$2.26,16.556,4.4102,6.8801,
Wireless Telecommunication Services,RCIAF,"15,533 M",28.87,$1.97,$13.52,$2.23,16.556,4.4102,6.8801,
Wireless Telecommunication Services,TIGO,"6,260 M",37.51,$5.71,$20.29,$2.08,11.892,6.4474,4.0348,
Interactive Media & Services,YELP,"2,437 M",38.17,$4.06,$11.24,$2.05,19.736,11.182,1.3533,
Media,IBTA,"1,265 M",49.99,$3.52,$13.62,$2.03,26.944,1.2824,1.5931,
Media,SBGI,976 M,14.03,$0.42,$6.27,$1.97,43.956,5.7015,13.255,
Media,NYT,"9,313 M",57.12,$2.59,$11.54,$1.83,16.679,8.7186,1.4511,
Interactive Media & Services,ATHM,"2,904 M",24.52,$1.39,$27.81,$1.80,6.2416,2.006,1.2086,
Interactive Media & Services,ZD,"1,365 M",32.44,$5.30,$43.13,$1.76,4.1177,3.3892,1.9304,
Diversified Telecommunication Services,KT,"9,177 M",18.81,$1.21,$45.85,$1.75,3.2008,1.4682,2.5406,
Entertainment,CNK,"3,884 M",33.77,$1.84,$3.08,$1.71,71.861,4.2418,13.408,
Diversified Telecommunication Services,T,"200,181 M",27.80,$2.71,$14.42,$1.63,10.885,4.1743,3.8312,
Entertainment,SE,"94,942 M",160.37,$5.60,$15.18,$1.42,11.13,3.0493,2.66,
Entertainment,NTES,"77,098 M",121.76,$1.72,$6.24,$1.38,23.698,10.23,1.3965,
Interactive Media & Services,WB,"2,216 M",9.05,$2.44,$14.40,$1.38,10.793,4.5291,1.9402,
Entertainment,GDEV,279 M,15.41,$1.54,($5.61),$1.38,-25.364,8.54,-2.681,
Media,IPG,"8,859 M",23.96,$2.80,$9.68,$1.31,13.577,5.1221,4.7782,
Diversified Telecommunication Services,HLTOY,"7,869 M",9.70,$1.24,$5.62,$1.30,23.687,8.5988,2.4547,
Entertainment,TKO,"12,901 M",157.81,$7.84,$50.92,$1.17,4.3174,1.6174,3.6065,
Entertainment,UNVGY,"58,221 M",15.91,$0.89,$2.56,$1.17,55.561,7.9781,3.8268,
Entertainment,OTGLY,"5,899 M",14.76,$0.19,$7.48,$1.17,16.883,8.166,1.0783,
Interactive Media & Services,SSTK,650 M,18.45,$0.06,$15.68,$1.09,7.074,3.7543,2.4201,
Diversified Telecommunication Services,IRDM,"2,747 M",25.40,$2.48,$4.77,$1.05,18.006,4.9707,5.0349,
Interactive Media & Services,EVER,833 M,23.05,$2.12,$4.14,$1.03,32.168,15.604,1.5528,
Interactive Media & Services,ANGI,751 M,15.65,$1.61,$21.18,$1.03,5.0926,1.345,1.7211,
Entertainment,NEXOY,"14,745 M",18.30,$1.05,$8.15,$1.00,12.868,7.5333,1.2318,
Media,GAMB,420 M,11.79,$0.43,$4.14,$0.96,25.736,10.818,2.0748,
Entertainment,WMG,"13,720 M",26.32,$1.03,$1.09,$0.86,67.782,6.3254,16.875,
Entertainment,TME,"25,949 M",16.84,$0.81,$6.61,$0.84,14.662,7.3536,1.3393,
Media,NWS,"18,513 M",32.72,$1.23,$14.48,$0.82,6.7152,3.5284,2.0212,
Media,NWSA,"15,978 M",28.24,$1.23,$14.48,$0.82,6.7152,3.5284,2.0212,
Media,TTD,"36,966 M",75.22,$1.39,$5.53,$0.82,16.878,5.4604,2.1002,
Wireless Telecommunication Services,SPOK,333 M,16.20,$1.29,$7.38,$0.77,10.211,6.2054,1.3476,
Interactive Media & Services,YALA,"1,087 M",6.90,$1.07,$4.64,$0.77,20.973,10.33,1.1178,
Interactive Media & Services,MOMO,975 M,6.07,$1.00,$9.39,$0.76,8.8778,5.5357,1.6347,
Media,WLY,"2,107 M",39.12,$2.77,$12.73,$0.75,5.7665,5.5592,3.7941,
Media,WLYB,"2,129 M",39.54,$2.77,$12.73,$0.75,5.7665,5.5592,3.7941,
Diversified Telecommunication Services,IIJIY,"3,384 M",38.25,$0.32,$5.30,$0.75,14.941,6.4198,2.2208,
Wireless Telecommunication Services,FRTAY,"4,162 M",17.50,$2.99,$13.24,$0.71,17.543,7.0105,2.1381,
Interactive Media & Services,CARS,645 M,10.25,$1.90,$7.69,$0.69,9.3458,2.6615,2.212,
Interactive Media & Services,RDDT,"20,731 M",112.35,$1.81,$12.03,$0.66,5.7674,.9148,1.0992,
Media,SCHL,461 M,17.27,$1.16,$35.27,$0.65,1.9186,1.1219,2.0836,
Media,NEXN,737 M,11.62,$1.67,$9.24,$0.65,8.5681,3.9377,1.4951,
