Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
"Hotels, Restaurants & Leisure",CHA,"5,203 M",28.01,<empty>,<empty>,<empty>,100.9,37.825,2.4854,
Specialty Retail,GRGDF,"1,295 M",12.00,<empty>,<empty>,<empty>,185.68,23.31,4.3778,
Household Durables,MGCLY,"84,458 M",11.00,<empty>,<empty>,<empty>,19.961,4.3905,2.762,
Specialty Retail,PHH,370 M,14.01,<empty>,<empty>,<empty>,38.003,18.551,2.0472,
Diversified Consumer Services,RYET,425 M,12.58,<empty>,<empty>,<empty>,-192.79,-20.006,-18.483,
Household Durables,NVR,"20,806 M",7115.93,$460.43,"$1,343.02",$486.51,38.251,20.363,1.5666,
"Hotels, Restaurants & Leisure",BKNG,"179,588 M",5518.93,$254.85,($186.92),$161.59,-107.02,17.963,-4.4488,
Specialty Retail,AZO,"62,431 M",3733.04,$118.61,($266.18),$149.46,-56.09,13.438,-4.064,
Diversified Consumer Services,GHC,"4,161 M",954.41,$86.28,$984.96,$141.53,14.861,8.9498,1.7734,
Specialty Retail,ORLY,"77,933 M",1367.50,$35.22,($23.77),$40.84,-173.02,13.728,-11.267,
Broadline Retail,MELI,"129,952 M",2563.29,$127.28,$98.70,$40.65,49.107,7.7389,5.532,
Broadline Retail,DDS,"6,178 M",396.02,$38.46,$119.10,$36.03,30.929,11.104,2.1029,
Specialty Retail,GPI,"5,483 M",423.92,$24.60,$234.33,$35.53,16.555,6.6281,3.3039,
Specialty Retail,LAD,"8,249 M",316.91,$4.28,$258.92,$31.74,13.145,4.4978,3.4745,
Household Durables,HOV,523 M,90.28,$4.62,$118.15,$28.18,29.328,6.0613,3.7268,
Specialty Retail,ULTA,"21,190 M",471.46,$22.29,$53.96,$25.56,50.435,16.846,2.4634,
Specialty Retail,MUSA,"8,434 M",426.79,$18.24,$36.41,$23.76,65.241,10.487,6.257,
Specialty Retail,ABG,"4,481 M",227.91,$28.43,$184.32,$20.94,11.916,6.0465,2.8208,
Household Durables,CVCO,"3,478 M",433.595,$19.25,$132.94,$20.71,16.305,9.0678,1.3213,
Household Durables,BLD,"8,087 M",282.89,$23.01,$74.14,$19.77,24.59,11.26,2.1721,
Household Durables,MHO,"2,855 M",106.61,$4.60,$112.29,$18.93,19.022,9.381,1.5252,
"Hotels, Restaurants & Leisure",DPZ,"16,224 M",473.82,$16.57,($114.30),$17.44,-15.351,30.322,-.47988,
Specialty Retail,AN,"6,931 M",183.85,($8.61),$63.43,$16.86,28.453,6.4803,5.5449,
"Textiles, Apparel & Luxury Goods",CROX,"5,720 M",102.00,$15.17,$35.11,$16.31,53.704,12.922,2.5722,
Specialty Retail,HD,"366,422 M",368.29,$15.34,$7.99,$14.73,299.52,15.122,12.465,
"Textiles, Apparel & Luxury Goods",LULU,"39,668 M",316.67,$12.80,$35.65,$14.64,42.417,21.314,1.7584,
Household Durables,PHM,"19,648 M",98.03,$7.06,$61.33,$14.20,25.522,13.892,1.4094,
Specialty Retail,PAG,"10,864 M",164.18,$9.93,$80.92,$14.19,18.564,4.9303,3.1386,
