Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Beverages,ABEV,"38,139 M",2.44,$0.25,$1.06,$0.16,16.24,9.9977,1.5583,
Consumer Staples Distribution & Retail,ACI,"12,799 M",22.23,$1.29,$5.88,$1.64,31.258,4.7421,7.9021,
Food Products,ACOPY,"3,714 M",5.13,$0.14,$1.05,$0.15,12.471,7.215,1.3794,
Food Products,ADM,"23,191 M",48.27,$0.46,$46.08,$2.81,5.8883,1.7912,2.4143,
Food Products,AGRO,921 M,9.21,$0.93,$14.20,$0.62,4.4162,2.771,2.3593,
Consumer Staples Distribution & Retail,ALBBY,"8,178 M",10.1636,$0.01,$0.14,$0.01,9.2895,4.4443,1.2983,
Food Products,ALF,377 M,10.48,($0.01),($0.36),$0.37,<empty>,<empty>,-22.848,
Consumer Staples Distribution & Retail,ANCTF,"49,195 M",51.89,$2.65,$14.98,$2.72,18.817,6.4687,2.5746,
Consumer Staples Distribution & Retail,ANDE,"1,214 M",35.51,$1.53,$39.94,$3.17,10.642,3.3798,2.8012,
Food Products,AVO,795 M,11.18,$0.64,$7.75,$0.57,8.2533,4.3597,1.8116,
Beverages,BDWBY,"13,457 M",4.08,$0.06,$0.77,$0.05,7.1123,4.5022,1.4511,
Food Products,BG,"10,504 M",78.15,($6.00),$78.71,$7.82,9.8607,3.1297,2.5203,
Food Products,BGS,336 M,4.21,$1.50,$6.43,($2.66),-32.477,3.9521,5.7569,
Consumer Staples Distribution & Retail,BJ,"14,949 M",113.21,$2.16,$14.99,$4.30,32.762,7.3621,3.6304,
Food Products,BKFKY,"2,812 M",11.86,($0.10),$27.24,$2.40,2.1233,1.6559,1.6237,
Personal Care Products,BRBR,"7,994 M",62.95,$1.22,($2.00),$2.14,-112,31.686,-3.7289,
Food Products,BRFS,"5,617 M",3.51,$1.05,$1.76,$0.41,25.631,7.7067,3.9197,
Food Products,BRRLY,"5,629 M",10.27,($677.75),$549.96,$28.99,5.1499,3.9446,6.556,
Tobacco,BTI,"99,023 M",45.20,$5.40,$27.26,$1.70,6.1809,5.1532,2.3951,
Beverages,BUD,"136,707 M",70.49,$5.59,$39.61,$3.38,8.1774,4.4738,2.6412,
Food Products,CAG,"10,927 M",22.89,$3.03,$18.39,$0.68,3.6579,5.1327,2.3629,
Food Products,CALM,"4,652 M",95.93,$17.61,$48.56,$20.24,48.146,29.817,1.2938,
Consumer Staples Distribution & Retail,CART,"11,908 M",45.67,$3.10,$12.10,$1.52,12.956,6.8095,1.3514,
Consumer Staples Distribution & Retail,CASY,"15,936 M",437.76,$14.12,$92.07,$14.35,16.819,6.9548,2.4055,
Beverages,CBYDF,277 M,9.74,$1.04,$4.48,$0.64,14.262,6.9977,2.1035,
Beverages,CCEP,"41,987 M",91.79,$4.78,$19.08,$3.19,17.027,5.3414,3.6636,
Beverages,CCU,"2,518 M",13.63,$0.43,$4.37,$0.47,11.396,3.8956,2.5497,
Beverages,CELH,"9,763 M",37.88,$0.76,$1.88,$0.32,9.1908,4.7875,4.1965,
Household Products,CENT,"2,287 M",36.06,$5.11,$23.92,$1.87,8.186,4.2209,2.3546,
Household Products,CENTA,"2,027 M",31.97,$5.11,$23.92,$1.87,8.186,4.2209,2.3546,
Household Products,CHD,"24,212 M",98.31,$3.79,$18.48,$2.33,13.355,8.2382,1.9679,
Consumer Staples Distribution & Retail,CHEF,"2,595 M",63.78,$3.33,$13.32,$1.47,12.904,4.7899,3.3945,
Food Products,CHLSY,"37,060 M",16.015,"$4,152.92","$23,180.73","$3,193.44",14.78,6.6558,1.8921,
Household Products,CL,"75,320 M",92.94,$4.25,$0.45,$3.53,451.26,16.023,45.86,
Household Products,CLX,"16,255 M",131.88,$6.47,$0.22,$5.57,318.65,11.598,204.15,
Beverages,COCO,"2,019 M",35.59,$0.56,$4.87,$1.01,24.857,13.773,1.3819,
Beverages,COKE,"9,995 M",114.65,$5.50,$17.20,$6.42,36.831,11.497,3.6039,
Consumer Staples Distribution & Retail,COST,"461,340 M",1040.18,$16.48,$61.16,$17.63,32.08,8.7905,2.7828,
Personal Care Products,COTY,"4,300 M",4.93,$0.40,$4.01,($0.47),-9.031,3.004,3.282,
Food Products,CPB,"10,150 M",34.04,$2.59,$13.12,$1.73,13.423,6.4962,4.0691,
Beverages,CRBBF,266 M,9.3555,$1.04,$4.54,$0.64,14.262,6.9977,2.1035,
Food Products,CRESY,717 M,11.97,($0.08),$1.32,$0.09,11.856,.7403,5.4658,
Food Products,CVGW,491 M,27.55,$1.00,$11.29,$0.77,6.8361,4.4792,1.4842,
Consumer Staples Distribution & Retail,DADA,522 M,2.02,($0.56),$1.91,($1.07),-44.493,-10.761,1.4454,
Food Products,DAR,"4,928 M",31.16,$3.28,$28.13,$1.08,3.9146,1.842,2.2552,
Consumer Staples Distribution & Retail,DDL,447 M,2.06,$0.52,$0.52,$0.18,40.24,1.9422,8.3905,
Beverages,DEO,"60,568 M",109.02,$1.23,$4.63,$1.61,32.318,7.7165,4.565,
Consumer Staples Distribution & Retail,DG,"21,390 M",97.25,$7.67,$33.71,$5.11,15.89,3.9173,4.1994,
Consumer Staples Distribution & Retail,DLTR,"18,968 M",90.26,$7.24,$18.49,$4.83,18.467,4.6539,4.6875,
Consumer Staples Distribution & Retail,DNOPY,"14,471 M",73.801,$1.00,$19.50,$4.01,22.851,10.343,1.7298,
Food Products,DOLE,"1,347 M",14.16,$0.86,$14.06,$1.23,9.9132,3.2063,3.3764,
Beverages,DVCMY,"7,767 M",6.476,$0.18,$3.32,$0.17,5.6796,4.8972,2.2012,
Personal Care Products,EL,"24,082 M",66.94,$2.63,$12.08,($2.42),-15.976,3.8774,4.5768,
Personal Care Products,ELF,"6,336 M",112.49,$2.05,$13.65,$1.92,15.974,8.3297,1.6405,
Consumer Staples Distribution & Retail,EMLAF,"8,971 M",38.36,$3.20,$15.77,$1.93,13.208,4.8365,3.1153,
Household Products,ENR,"1,681 M",23.29,$2.46,$1.85,$0.74,33.456,6.6185,31.456,
Personal Care Products,EPC,"1,299 M",27.62,$0.66,$32.00,$1.72,5.5265,3.9679,2.4921,
Food Products,FDP,"1,693 M",35.32,$3.36,$41.86,$3.05,7.4612,3.3698,1.5723,
Beverages,FIZZ,"4,234 M",45.23,$1.87,$4.33,$1.99,40.81,21.966,1.466,
Food Products,FLO,"3,568 M",16.90,$1.51,$6.70,$1.08,16.34,6.1423,3.0566,
Beverages,FMX,"184,801 M",106.53,$0.22,$4.14,$0.37,11.04,4.8863,2.8254,
Food Products,FRPT,"3,910 M",80.16,($0.28),$21.52,$0.31,1.5415,1.4641,1.4855,
Tobacco,GDNGY,"1,053 M",2.19,$0.09,$1.95,$0.02,.798,.8535,1.3607,
Food Products,GIS,"29,713 M",54.26,$4.43,$16.92,$4.54,26.834,7.2007,3.5308,
Personal Care Products,GLASF,453 M,5.84,$0.13,$1.66,($0.11),5.9294,4.0548,2.4224,
Consumer Staples Distribution & Retail,GO,"1,331 M",13.58,($0.61),$12.04,$0.17,1.4286,2.2744,2.7734,
Consumer Staples Distribution & Retail,GRDN,"1,340 M",21.17,$0.76,$2.47,($1.59),-59.235,-12.348,2.1398,
Personal Care Products,HLF,795 M,7.81,$1.63,($7.24),$2.74,-31.637,12.173,-3.6472,
Food Products,HLNFF,381 M,13.09,$2.10,$13.67,$1.89,14.594,5.221,2.1033,
Personal Care Products,HNST,554 M,5.03,($0.02),$1.63,($0.02),-.9615,-.6768,1.471,
Food Products,HRL,"16,871 M",30.68,$1.27,$14.61,$1.36,9.3731,4.7478,1.669,
Food Products,HSY,"32,556 M",160.69,$8.99,$23.12,$8.12,37.483,10.964,2.9815,
Consumer Staples Distribution & Retail,IMKTA,"1,183 M",62.30,$1.13,$82.75,$3.26,3.9998,2.9818,1.5946,
Food Products,INGR,"8,947 M",139.12,$14.97,$61.85,$9.47,16.307,9.0704,1.8778,
Personal Care Products,IPAR,"4,376 M",136.22,$5.84,$24.55,$5.17,21.461,12.811,1.8266,
Food Products,JBSS,723 M,62.14,($1.62),$29.78,$4.72,16.582,8.8842,1.7021,
Food Products,JDEPY,"13,184 M",13.605,$2.22,$23.53,$1.17,4.8795,2.8595,2.1384,
Food Products,JJSF,"2,241 M",115.17,$4.29,$48.07,$3.89,8.2031,4.9532,1.4519,
Food Products,K,"28,668 M",82.63,$2.51,$11.28,$3.97,38.149,8.1197,3.9525,
Beverages,KDP,"45,730 M",33.67,$1.31,$18.00,$1.10,6.1262,4.0583,2.1965,
Food Products,KHC,"31,636 M",26.73,$2.51,$41.56,$2.19,5.3498,3.7517,1.8252,
Food Products,KLG,"1,460 M",16.92,($1.06),$3.80,$0.65,17.702,6.7879,6.1651,
Household Products,KMB,"47,702 M",143.76,$7.15,$3.32,$7.34,207.06,11.543,14.809,
Beverages,KO,"310,338 M",72.10,($0.22),$6.09,$2.49,38.776,8.8932,3.882,
Beverages,KOF,"19,958 M",95.00,$2.10,$35.28,$5.55,17.362,8.0354,2.0572,
Consumer Staples Distribution & Retail,KR,"45,431 M",68.23,$2.49,$12.55,$3.67,26.879,5.6341,6.3508,
Personal Care Products,KVUE,"45,828 M",23.87,$0.75,$5.24,$0.55,10.216,6.7706,2.6119,
Food Products,LANC,"4,615 M",167.40,$5.39,$36.14,$6.15,17.772,11.689,1.2814,
Consumer Staples Distribution & Retail,LBLCF,"50,495 M",168.88,$8.84,$25.57,$5.01,20.6,6.4004,3.6486,
Food Products,LMNR,285 M,15.79,$0.23,$9.76,$0.43,3.9658,-.7929,1.712,
Food Products,LND,377 M,3.78,$0.25,$3.82,$0.54,15.002,5.902,1.8304,
Food Products,LSDAF,"1,091 M",160.00,$11.68,$109.26,$11.79,10.357,5.8885,2.2372,
Food Products,LW,"7,871 M",55.78,$0.60,$11.58,$2.55,21.64,7.3661,4.5438,
Food Products,LWAY,344 M,22.595,$0.32,$4.88,$0.67,14.726,8.4047,1.2629,
Food Products,MAMA,312 M,8.31,$0.00,$0.66,$0.09,16.687,7.8353,1.8903,
Food Products,MDLZ,"87,387 M",67.49,$2.49,$19.91,$2.70,13.302,3.6906,2.6731,
Beverages,MGPI,626 M,29.42,$2.67,$38.94,$0.50,1.2792,6.5628,1.6638,
Food Products,MKC,"19,505 M",72.73,$2.42,$20.22,$2.90,14.659,5.1648,2.3787,
Food Products,MLFNF,"2,465 M",19.91,$1.63,$8.82,$0.53,6.0531,4.1197,2.8216,
Beverages,MNST,"62,367 M",63.95,$1.78,$6.69,$1.52,20.004,14.239,1.2619,
Tobacco,MO,"102,095 M",60.61,$4.97,($2.08),$5.99,-239.61,20.923,-10.188,
Consumer Staples Distribution & Retail,MTRAF,"17,112 M",77.96,$3.40,$22.44,$3.09,14.263,6.4362,2.0142,
Personal Care Products,NATR,284 M,15.46,$0.93,$8.73,$0.53,6.2948,5.411,1.5668,
Consumer Staples Distribution & Retail,NGVC,"1,121 M",48.83,$1.81,$8.41,$1.78,23.379,5.4599,3.4439,
Consumer Staples Distribution & Retail,NNWWF,"1,968 M",41.21,$1.35,$11.07,$1.93,19.094,8.9492,1.9786,
Food Products,NOMD,"2,670 M",17.50,$2.08,$18.42,$1.52,8.6099,4.346,2.4483,
Personal Care Products,NUS,426 M,8.63,$1.33,$15.26,($0.78),-4.9286,3.5437,1.8455,
Household Products,ODC,732 M,50.17,$2.93,$16.17,$3.13,21.116,11.935,1.4998,
Personal Care Products,OLPX,879 M,1.32,$0.14,$1.32,$0.02,1.4118,1.9789,2.0162,
Food Products,OTLY,327 M,10.94,($4.38),$4.03,($6.17),-85.505,-7.3367,6.5787,
Consumer Staples Distribution & Retail,PFGC,"13,980 M",89.56,$3.55,$28.00,$2.41,9.0508,3.4582,3.9478,
Household Products,PG,"398,314 M",169.89,$6.38,$21.96,$6.30,30.294,10.977,2.3885,
Tobacco,PM,"281,091 M",180.59,$6.56,($7.00),$4.86,-92.561,13.748,-5.97,
Food Products,POST,"6,162 M",110.59,$8.57,$68.75,$5.65,9.129,4.055,3.3413,
Food Products,PPC,"11,657 M",49.16,$5.82,$13.20,$5.08,36.394,11.46,3.4993,
Beverages,PRMB,"12,344 M",33.07,$1.02,$8.86,($0.04),-.6834,4.3154,3.2948,
Beverages,PRNDY,"26,072 M",20.72,$4.49,$68.11,$4.50,6.4808,4.6652,2.4056,
Consumer Staples Distribution & Retail,PSMT,"3,321 M",107.98,$2.61,$39.10,$4.69,12.596,6.8278,1.7847,
Tobacco,RLX,"2,510 M",2.06,$0.12,$1.82,$0.07,4.1405,.0827,1.0525,
