Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
"Oil, Gas & Consumable Fuels",KWTEF,566 M,12.89,<empty>,<empty>,<empty>,6.0156,5.7711,1.6446,
Energy Equipment & Services,OMSE,361 M,8.51,<empty>,<empty>,<empty>,147.54,21.379,1.7733,
"Oil, Gas & Consumable Fuels",CHRD,"5,198 M",90.00,$19.21,$148.09,$15.19,12.693,7.8165,1.5152,
"Oil, Gas & Consumable Fuels",FANG,"39,311 M",134.55,$8.40,$133.92,$16.37,14.668,7.1349,1.8212,
"Oil, Gas & Consumable Fuels",PNRG,321 M,193.10,$6.39,$122.55,$21.32,28.43,12.313,1.6556,
"Oil, Gas & Consumable Fuels",DELKY,"3,275 M",17.91,$42.16,$117.56,$15.65,11.14,6.7428,6.117,
"Oil, Gas & Consumable Fuels",GPOR,"3,402 M",191.50,$10.63,$92.92,($17.28),-16.015,1.3444,1.7805,
Energy Equipment & Services,PDS,582 M,43.06,$12.80,$87.16,$5.20,6.5797,4.4272,1.7194,
"Oil, Gas & Consumable Fuels",CVX,"236,764 M",136.70,$7.60,$85.46,$8.74,10.079,5.2326,1.718,
"Oil, Gas & Consumable Fuels",VLO,"40,394 M",128.97,$15.21,$75.00,$2.91,3.7142,2.4558,2.5192,
"Oil, Gas & Consumable Fuels",CNR,"3,649 M",69.30,$2.55,$74.01,$3.30,4.3612,2.8079,1.6048,
"Oil, Gas & Consumable Fuels",VTLE,577 M,14.88,($15.42),$73.37,($3.40),-4.6057,5.1147,2.1292,
"Oil, Gas & Consumable Fuels",CIVI,"2,534 M",27.37,$9.00,$72.42,$8.73,12.725,6.4991,2.2864,
"Oil, Gas & Consumable Fuels",EXE,"27,637 M",116.13,$2.24,$72.39,($5.41),-7.0964,-2.2585,1.6249,
"Oil, Gas & Consumable Fuels",PSX,"46,236 M",113.48,$7.13,$66.91,$4.42,6.56,.9511,2.634,
"Oil, Gas & Consumable Fuels",STNG,"2,027 M",39.74,$14.01,$61.85,$10.31,18.065,6.3378,1.36,
"Oil, Gas & Consumable Fuels",XOM,"440,876 M",102.30,$6.42,$60.96,$7.55,14.302,6.1982,1.7201,
"Oil, Gas & Consumable Fuels",TEN,547 M,18.16,$2.24,$56.99,$4.95,10.861,5.0313,2.0832,
"Oil, Gas & Consumable Fuels",NC,267 M,35.86,($1.73),$54.97,$4.61,8.6176,-4.558,1.5501,
"Oil, Gas & Consumable Fuels",EOG,"59,256 M",108.57,$9.84,$53.55,$10.80,20.9,10.506,1.5918,
"Oil, Gas & Consumable Fuels",TTE,"129,310 M",58.68,$6.82,$53.12,$5.94,11.714,5.2621,2.4675,
"Oil, Gas & Consumable Fuels",MPC,"49,382 M",160.74,$13.59,$53.06,$7.39,15.524,3.4689,4.9788,
"Oil, Gas & Consumable Fuels",TNK,"1,524 M",44.19,$9.29,$52.98,$9.52,18.961,8.1065,1.1091,
"Oil, Gas & Consumable Fuels",TPL,"25,609 M",1114.03,$2.81,$52.48,$19.99,39.524,26.72,1.1219,
"Oil, Gas & Consumable Fuels",COP,"107,747 M",85.35,$7.21,$51.68,$7.91,16.66,8.7823,1.9046,
"Oil, Gas & Consumable Fuels",DINO,"6,807 M",36.13,$1.25,$48.76,($0.75),-1.3825,-.1813,1.8006,
Energy Equipment & Services,SDRL,"1,444 M",23.20,($2.24),$46.78,$5.56,12.751,2.1075,1.3972,
"Oil, Gas & Consumable Fuels",DTM,"10,641 M",104.74,$4.52,$45.69,$3.68,8.3186,3.3959,2.1396,
"Oil, Gas & Consumable Fuels",PBF,"2,203 M",19.05,($8.68),$44.22,($9.16),-17.792,-5.4274,2.547,
"Oil, Gas & Consumable Fuels",MTDR,"5,385 M",43.01,$4.40,$42.23,$7.44,19.852,9.742,2.0959,
"Oil, Gas & Consumable Fuels",NRP,"1,288 M",98.00,$15.86,$42.19,$10.41,30.603,12.914,1.3935,
"Oil, Gas & Consumable Fuels",SMC,308 M,25.14,$0.77,$41.97,($25.29),-23.237,1.4468,5.4413,
"Oil, Gas & Consumable Fuels",CRC,"3,939 M",44.17,$5.35,$39.43,$5.76,17.864,10.257,1.9417,
"Oil, Gas & Consumable Fuels",OVV,"9,307 M",35.82,$5.34,$38.61,$2.38,6.1744,6.9585,1.9458,
"Oil, Gas & Consumable Fuels",SM,"2,681 M",23.42,($13.29),$38.47,$7.14,20.276,9.66,1.9955,
"Oil, Gas & Consumable Fuels",INSW,"1,828 M",37.05,$2.52,$37.92,$6.47,17.567,7.7781,1.3604,
"Oil, Gas & Consumable Fuels",HES,"40,883 M",132.19,$3.63,$37.40,$7.21,22.753,9.6828,2.3555,
"Oil, Gas & Consumable Fuels",MUR,"2,987 M",20.93,$4.07,$35.88,$2.63,8.6133,3.5072,1.9179,
"Oil, Gas & Consumable Fuels",EQT,"33,002 M",55.13,$2.16,$34.61,$0.66,2.2967,1.2499,1.9164,
"Oil, Gas & Consumable Fuels",OKE,"50,495 M",80.84,$5.17,$34.20,$5.11,16.409,6.0479,3.008,
"Oil, Gas & Consumable Fuels",WKC,"1,551 M",27.39,$3.40,$33.94,$0.32,.9982,2.1451,3.4297,
"Oil, Gas & Consumable Fuels",IMO,"36,320 M",71.35,$6.20,$33.33,$6.47,20.55,9.1823,1.7979,
"Oil, Gas & Consumable Fuels",REX,694 M,42.14,$0.55,$32.56,$3.24,11.475,5.8968,1.2936,
Energy Equipment & Services,VTOL,842 M,29.26,($3.24),$32.38,$3.89,13.202,4.9067,2.3314,
Energy Equipment & Services,VAL,"2,674 M",37.62,$1.13,$31.04,$4.29,14.385,6.9512,1.9877,
"Oil, Gas & Consumable Fuels",SUN,"7,354 M",53.94,$0.11,$30.49,$5.21,32.253,5.4005,3.4509,
"Oil, Gas & Consumable Fuels",BTU,"1,600 M",13.16,$1.60,$30.16,$2.72,11.044,3.8188,1.5768,
"Oil, Gas & Consumable Fuels",SHEL,"195,780 M",66.22,$5.05,$29.72,$2.17,7.5647,5.1675,2.1768,
"Oil, Gas & Consumable Fuels",YPF,"13,915 M",35.38,($0.33),$29.67,$3.61,14.695,3.7294,2.545,
Energy Equipment & Services,HP,"1,516 M",15.25,$0.76,$29.52,$2.20,7.58,4.1905,2.4676,
"Oil, Gas & Consumable Fuels",TRMLF,"16,884 M",45.07,$1.25,$28.75,$2.34,8.3486,4.584,1.4463,
"Oil, Gas & Consumable Fuels",OXY,"40,133 M",40.78,$4.53,$28.05,$2.47,9.4896,4.5103,3.2154,
"Oil, Gas & Consumable Fuels",CNX,"4,672 M",32.28,$2.29,$25.92,($1.97),-7.3033,-2.1082,2.3992,
"Oil, Gas & Consumable Fuels",SU,"43,640 M",35.55,$4.96,$25.28,$3.35,13.675,6.4803,2.0007,
"Oil, Gas & Consumable Fuels",LNG,"52,561 M",236.99,$14.02,$25.05,$13.71,46.98,8.5562,7.8025,
"Oil, Gas & Consumable Fuels",LPG,913 M,21.41,$5.92,$24.47,$2.14,8.7136,3.8936,1.7003,
"Oil, Gas & Consumable Fuels",NOG,"2,624 M",26.58,($1.22),$24.45,$6.43,29.413,12.36,2.3624,
"Oil, Gas & Consumable Fuels",REPX,565 M,25.66,$6.02,$24.33,$4.67,20.429,10.597,1.8689,
Energy Equipment & Services,NBR,405 M,25.81,($6.96),$23.58,($14.66),-1.604,3.0468,14.737,
"Oil, Gas & Consumable Fuels",AR,"11,629 M",37.45,$1.11,$23.17,$0.77,3.7939,1.0593,1.8078,
"Oil, Gas & Consumable Fuels",DVN,"19,430 M",30.26,($1.08),$22.59,$4.38,20.963,9.5584,2.1264,
"Oil, Gas & Consumable Fuels",FECCF,325 M,4.20,$2.25,$22.31,$0.14,.635,2.0834,1.6628,
Energy Equipment & Services,TDW,"1,965 M",39.71,$5.32,$21.90,$3.34,16.148,8.9693,1.8554,
"Oil, Gas & Consumable Fuels",TRMD,"1,565 M",15.98,$3.70,$21.90,$4.74,22.114,8.4834,1.6282,
"Oil, Gas & Consumable Fuels",PARR,"1,114 M",21.59,($1.75),$21.25,($1.09),-4.9498,.157,3.3758,
Energy Equipment & Services,PHIG,"1,124,975 M",24.00,$2.48,$20.90,$3.26,20.474,8.1679,1.5051,
Energy Equipment & Services,NGS,300 M,23.97,$0.15,$20.86,$1.34,6.7724,4.6206,1.9276,
"Oil, Gas & Consumable Fuels",EE,900 M,28.13,$7.65,$20.80,$1.53,9.416,5.0984,5.8442,
"Oil, Gas & Consumable Fuels",VNOM,"5,203 M",39.69,($4.45),$20.36,$3.82,16.065,7.7164,2.3328,
"Oil, Gas & Consumable Fuels",AKRBY,"14,726 M",11.65,$2.57,$19.95,$2.55,12.836,12.663,3.4337,
"Oil, Gas & Consumable Fuels",ENB,"101,328 M",46.48,$1.48,$19.59,$1.88,9.4614,3.3532,3.5815,
"Oil, Gas & Consumable Fuels",STHRF,"4,542 M",21.20,$2.27,$19.38,$2.30,12.427,6.906,1.9318,
"Oil, Gas & Consumable Fuels",PARXF,959 M,9.83,$2.25,$19.23,$0.81,4.216,9.6565,1.1688,
"Oil, Gas & Consumable Fuels",GLNG,"4,309 M",41.16,($0.82),$19.05,$0.03,1.0831,.5196,2.194,
