Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Insurance,AII,324 M,16.57,<empty>,<empty>,<empty>,26.82,3.0967,7.3781,
Consumer Finance,ANTA,293 M,12.69,<empty>,<empty>,<empty>,14.869,.2001,27.049,
Banks,CIB,"9,962 M",41.43,<empty>,<empty>,<empty>,16.289,1.8386,8.961,
Banks,DSBX,286 M,15.024,<empty>,$12.54,$0.65,5.5858,.6089,9.6185,
Capital Markets,ETOR,"4,955 M",59.20,<empty>,<empty>,<empty>,26.908,19.32,2.7365,
Consumer Finance,SHGKY,546 M,1.39,<empty>,<empty>,<empty>,2.4308,1.5128,1.7638,
Capital Markets,WTF,318 M,6.60,<empty>,<empty>,<empty>,20.051,6.7974,2.1447,
Insurance,YB,681 M,15.10,<empty>,<empty>,<empty>,65.578,24.958,-1.7013,
Insurance,WTM,"4,594 M",1784.80,$201.25,"$1,774.85",$10.73,2.4944,2.4605,2.4403,
Insurance,MKL,"24,630 M",1941.70,$160.80,"$1,303.40",$135.94,11.318,2.7272,3.9017,
Insurance,FRFHF,"37,879 M",1692.5136,$118.24,"$1,080.38",$172.81,15.923,4.2162,4.2416,
Consumer Finance,CACC,"5,538 M",477.30,$95.89,$145.64,$23.43,17.24,3.3408,5.4112,
Capital Markets,IBKR,"22,847 M",209.68,$88.16,$41.32,$7.26,22.251,2.4669,35.022,
Insurance,ELFIF,"4,187 M",1209.61,$83.37,"$1,550.15",$210.52,13.369,3.836,3.5489,
Insurance,ALIZY,"152,640 M",39.59,$79.97,$161.83,$26.08,16.779,.9999,17.327,
Financial Services,JXN,"5,852 M",81.91,$79.00,$135.90,$1.09,1.4941,.2691,33.496,
Insurance,RGA,"13,435 M",203.29,$76.95,$172.53,$11.84,7.6009,.7434,11.245,
Banks,CBCY,"4,187 M",950.00,$76.62,$704.81,$69.29,10.447,1.5984,6.186,
Banks,FCNCA,"24,570 M",1848.88,$73.82,"$1,596.28",$175.01,11.458,1.1324,10.686,
Insurance,RNR,"12,134 M",249.42,$71.57,$196.17,$31.81,13.986,2.9093,5.5877,
Capital Markets,SVCTF,575 M,236.50,$69.86,$484.82,($36.07),-7.3071,-1.7035,3.2158,
Capital Markets,AMP,"48,491 M",509.24,$66.82,$56.79,$29.43,58.108,2.2217,33,
Consumer Finance,ENVA,"2,351 M",92.67,$58.43,$46.82,$8.48,19.939,4.6358,4.5605,
Financial Services,ADYEY,"60,311 M",19.15,$53.31,$139.23,$30.65,25.064,5.3564,2.7,
Insurance,ESGR,"4,995 M",335.01,$51.48,$426.59,$31.20,8.5625,2.2072,3.3241,
Banks,LRCDF,998 M,22.57,$49.70,$44.28,($0.30),-.1453,-.0086,17.78,
Consumer Finance,COF,"121,082 M",189.15,$47.75,$153.27,$11.90,8.0284,.9988,8.4094,
Consumer Finance,WRLD,820 M,154.48,$46.17,$84.28,$16.30,20.776,9.365,2.2928,
Insurance,FG,"4,307 M",31.96,$43.02,$32.39,$3.84,12.365,.5786,20.171,
Insurance,KNSL,"11,003 M",471.99,$41.57,$67.92,$17.37,29.422,7.0489,3.2944,
Insurance,TRV,"62,465 M",275.70,$39.46,$124.41,$18.38,16.052,2.6913,4.8234,
Consumer Finance,BFH,"2,383 M",51.24,$36.48,$64.45,$5.67,9.377,1.2801,7.2953,
Insurance,CB,"119,102 M",297.20,$36.05,$164.01,$20.78,12.855,2.7102,3.8303,
Insurance,ALL,"55,577 M",209.87,$33.43,$75.68,$14.64,19.723,3.1113,5.7425,
Capital Markets,AMG,"5,003 M",176.00,$30.72,$107.71,$13.18,13.672,4.1695,2.7332,
Consumer Finance,ATLC,742 M,49.05,$30.47,$35.29,$5.17,20.564,3.8092,6.1425,
Insurance,HCI,"1,949 M",168.77,$30.30,$48.55,$10.46,30.744,6.3253,4.4131,
Capital Markets,FUTU,"14,191 M",101.93,$28.76,$27.98,$6.00,23.377,4.5425,5.9618,
Financial Services,AGM,"2,038 M",186.42,$27.73,$101.94,$16.17,13.513,.6596,28.537,
Insurance,AIZ,"10,292 M",202.98,$27.33,$103.00,$12.82,13.204,1.7051,6.6846,
Insurance,PGR,"167,033 M",284.93,$26.86,$49.39,$14.83,34.338,6.8649,3.8478,
Consumer Finance,RM,262 M,26.45,$26.52,$35.48,$3.29,9.5138,4.1046,5.311,
Capital Markets,BLK,"151,811 M",979.89,$26.16,$309.86,$41.15,13.932,3.6677,2.9549,
Consumer Finance,SYF,"21,945 M",57.65,$24.81,$40.36,$7.27,18.598,2.4366,7.9449,
Insurance,PRI,"8,892 M",270.60,$24.27,$68.33,$21.87,33.35,4.462,6.4656,
Banks,QCRH,"1,139 M",67.30,$23.54,$60.44,$6.65,11.701,1.2721,8.9492,
Consumer Finance,OMF,"6,167 M",51.84,$23.47,$27.50,$4.73,17.462,2.2708,7.9357,
Insurance,MET,"52,751 M",78.58,$23.46,$40.83,$6.14,15.982,.626,25.036,
Insurance,FNF,"15,042 M",54.77,$22.80,$28.70,$4.04,14.488,1.2568,12.443,
Insurance,THG,"6,321 M",175.98,$21.62,$84.57,$12.00,15.735,2.4393,5.0816,
Insurance,PFG,"17,462 M",77.89,$21.48,$49.86,$4.68,9.7326,.2756,27.905,
Insurance,AXS,"8,164 M",103.80,$20.90,$68.06,$10.08,15.435,2.0875,6.2116,
Insurance,SIGI,"5,349 M",88.02,$20.09,$50.33,$3.68,7.4824,1.7061,4.6419,
Insurance,BNT,"14,041 M",57.90,$19.94,$50.47,$2.28,5.6591,.8664,11.571,
Banks,MTB,"29,317 M",182.64,$19.81,$163.63,$14.94,9.4052,1.2414,7.9077,
Capital Markets,ARES,"36,156 M",165.50,$19.48,$13.71,$1.76,14.909,2.3026,9.0782,
Insurance,HIG,"36,888 M",129.84,$19.39,$57.91,$10.04,18.495,3.0785,4.9853,
Capital Markets,PJT,"3,681 M",150.66,$19.24,$6.01,$5.63,31.378,19.215,9.3847,
Financial Services,CPAY,"22,918 M",325.11,$19.12,$49.01,$14.26,30.04,6.4926,5.3702,
Banks,CCB,"1,321 M",87.89,$18.96,$29.98,$3.36,12.778,1.1737,9.6446,
Capital Markets,SPGI,"157,285 M",512.86,$17.91,$108.81,$12.73,11.241,6.1946,1.7946,
Capital Markets,MSCI,"43,639 M",564.02,$17.61,($12.35),$14.54,-141.92,18.136,-5.5754,
Capital Markets,EVR,"8,949 M",231.49,$17.46,$38.97,$10.47,28.142,15.243,2.1713,
Insurance,ACGL,"35,617 M",95.04,$17.38,$55.38,$9.75,18.415,3.8013,3.6291,
Capital Markets,PIPR,"4,132 M",251.45,$17.30,$73.47,$11.46,10.701,7.9402,1.5002,
Banks,BOKF,"6,068 M",94.42,$17.19,$89.82,$8.72,10.263,1.1122,8.7446,
Insurance,CINF,"23,574 M",150.82,$16.56,$87.77,$9.20,10.974,3.2216,2.7173,
Insurance,AFG,"10,355 M",123.98,$16.53,$52.49,$9.52,18.513,2.3447,6.8975,
Capital Markets,MRX,"3,141 M",43.16,$16.52,$12.66,$3.09,27.101,1.0399,23.279,
Insurance,GL,"10,060 M",121.87,$16.26,$65.43,$12.31,20.471,3.1937,5.4752,
Consumer Finance,AXP,"206,008 M",294.05,$16.00,$44.51,$14.32,34.273,3.7265,9.0457,
Financial Services,MA,"531,773 M",585.60,$15.56,$7.33,$14.26,187.7,23.363,7.2658,
Consumer Finance,OPFI,332 M,12.67,$14.95,$0.89,($0.62),43.357,15.64,28.385,
Capital Markets,FDS,"17,390 M",458.26,$14.85,$54.14,$14.08,28.119,10.808,2.062,
Consumer Finance,NNI,"4,224 M",116.18,$14.85,$94.06,$5.30,5.6273,1.2591,4.1503,
Capital Markets,NTRS,"20,765 M",106.74,$14.45,$61.65,$10.76,17.681,1.3751,13.763,
Capital Markets,SAR,381 M,24.78,$14.20,$25.86,$2.02,7.3631,5.6594,3.0345,
Capital Markets,MCO,"86,248 M",479.32,$13.78,$20.56,$11.56,55.498,12.688,4.08,
Insurance,L,"18,724 M",89.29,$13.74,$81.73,$6.09,7.9984,1.6542,4.8364,
Financial Services,EEFT,"4,683 M",108.28,$13.25,$30.11,$6.80,25.027,5.5215,4.6487,
Banks,PNC,"68,754 M",173.81,$13.23,$127.98,$14.15,11.329,1.0898,10.951,
Insurance,MCY,"3,571 M",64.48,$13.12,$32.87,$5.16,16.712,2.8434,4.9586,
Insurance,ROOT,"2,013 M",130.99,$13.06,$15.05,$3.16,17.95,4.0136,6.9327,
Insurance,UFCS,724 M,28.45,$12.94,$32.13,$2.54,8.5118,1.6888,4.3151,
Insurance,HMN,"1,771 M",43.43,$12.55,$32.79,$2.76,8.9656,.7766,10.721,
Insurance,IFCZF,"40,612 M",227.72,$12.42,$67.99,$8.60,12.924,3.3678,3.4725,
Capital Markets,HLI,"12,192 M",174.68,$12.31,$31.14,$5.82,19.928,11.436,1.7563,
Banks,PFBC,"1,039 M",83.61,$12.26,$59.30,$9.43,17.213,1.8362,9.119,
Insurance,AON,"80,347 M",372.08,$12.24,$32.41,$11.75,72.012,6.0076,7.1822,
Insurance,WTW,"31,386 M",316.55,$12.02,$81.98,($0.52),-.4836,4.5346,3.4506,
Capital Markets,MORN,"13,030 M",308.42,$11.98,$37.86,$8.91,25.679,7.9257,2.2286,
Insurance,PLMR,"4,585 M",171.47,$11.80,$29.57,$5.02,20.759,4.959,3.0698,
Insurance,ITIC,441 M,234.02,$11.57,$134.90,$15.69,11.692,7.0696,1.312,
Banks,LOB,"1,252 M",27.45,$11.53,$22.53,$1.30,6.0739,.474,13.238,
Financial Services,GPN,"18,440 M",75.61,$11.52,$90.68,$6.19,7.102,3.2327,2.1402,
Consumer Finance,DAVE,"2,679 M",200.82,$11.35,$17.01,$3.70,32.097,14.594,1.5825,
Banks,MCB,689 M,64.67,$11.30,$66.68,$5.92,9.4711,.887,10.322,
Insurance,MFC,"54,533 M",31.84,$11.18,$19.93,$1.85,10.73,.5507,19.918,
Insurance,AJG,"88,963 M",347.44,$10.99,$87.15,$6.66,9.2979,2.6772,3.3197,
Capital Markets,VIRT,"3,453 M",40.19,$10.98,$15.27,$3.46,41.053,4.0402,13.397,
Consumer Finance,FCFS,"5,675 M",127.91,$10.92,$46.40,$6.25,13.697,6.9368,2.1504,
Financial Services,V,"699,585 M",365.19,$10.83,$19.80,$9.96,50.655,16.936,2.4994,
Banks,PRK,"2,632 M",162.56,$10.81,$79.00,$9.75,12.976,1.6023,7.7297,
Capital Markets,CME,"104,144 M",289.00,$10.64,$75.16,$9.94,13.387,1.7615,5.839,
Insurance,SAFT,"1,223 M",82.14,$10.29,$57.12,$4.90,8.7531,2.6506,2.6935,
Banks,EWBC,"12,570 M",91.20,$10.27,$57.54,$8.38,15.66,1.5924,9.6053,
Banks,WTFC,"7,992 M",119.41,$10.26,$92.47,$10.13,11.578,1.1288,10.645,
Capital Markets,CBOE,"23,992 M",229.12,$10.01,$42.51,$7.62,19.018,9.3188,1.9468,
Capital Markets,FRHC,"10,056 M",165.89,$9.93,$20.78,$5.36,28.007,3.8875,7.2507,
Insurance,ERIE,"18,746 M",358.51,$9.76,$39.54,$11.75,32.38,16.288,1.4358,
Capital Markets,UBS,"101,659 M",31.89,$9.70,$27.35,$1.51,5.8642,.3226,17.702,
Capital Markets,RJF,"29,654 M",146.98,$9.64,$59.73,$10.38,18.866,2.6636,6.8517,
Capital Markets,MKTX,"8,116 M",216.41,$9.64,$35.86,$5.76,16.254,11.063,1.394,
Insurance,CNA,"12,965 M",47.91,$9.62,$37.98,$3.28,8.9764,1.1924,6.5499,
Consumer Finance,QFIN,"5,527 M",41.10,$9.53,$23.63,$6.44,30.424,10.262,2.4119,
Banks,UMBF,"7,829 M",103.12,$9.49,$87.43,$7.71,8.3286,.719,10.447,
Insurance,BOW,"1,218 M",37.30,$9.44,$11.98,$1.33,14.396,2.6616,4.4794,
Consumer Finance,OPRT,292 M,6.65,$9.21,$9.76,($1.01),-11.356,-1.3061,8.8127,
Financial Services,VOYA,"6,405 M",66.52,$9.16,$45.53,$5.32,9.892,.3827,37.406,
Banks,NIC,"1,849 M",122.64,$9.15,$78.11,$8.31,11.47,1.4793,7.5851,
Insurance,WRB,"28,334 M",74.69,$9.06,$23.50,$4.31,20.686,3.6871,4.6383,
Banks,HIFS,529 M,242.41,$8.94,$200.69,$12.96,6.678,.6284,10.338,
Banks,CHCO,"1,707 M",117.89,$8.81,$51.63,$7.98,16.394,1.8229,8.7566,
Financial Services,FI,"90,256 M",162.79,$8.69,$46.55,$5.65,11.678,4.3854,3.1062,
Banks,SRCE,"1,488 M",60.56,$8.54,$47.29,$5.69,12.222,1.5958,7.7171,
Insurance,MMC,"115,131 M",233.66,$8.49,$28.55,$8.15,30.532,7.9288,4.0537,
Capital Markets,KKR,"108,177 M",121.46,$8.48,$28.06,$2.37,7.145,1.2628,14.939,
Banks,RBCAA,"1,338 M",68.54,$8.42,$52.98,$5.97,11.985,1.692,6.8423,
Insurance,UVE,764 M,27.14,$8.33,$14.98,$2.29,16.952,2.5608,6.4271,
Banks,BANR,"2,132 M",61.65,$8.28,$53.16,$5.09,10.09,1.1137,8.8199,
Financial Services,ESNT,"5,881 M",58.00,$8.15,$55.22,$6.84,13.286,8.028,1.2731,
Capital Markets,COIN,"62,815 M",246.62,$7.85,$41.12,$5.39,15.841,.2226,2.0759,
Insurance,UNM,"14,367 M",81.71,$7.80,$63.78,$8.54,14.678,2.219,5.5698,
Insurance,SKWD,"2,560 M",63.35,$7.52,$21.06,$2.98,16.086,2.8714,4.7379,
Banks,IBOC,"3,892 M",62.63,$7.46,$46.53,$6.57,15.197,2.5843,5.6198,
Banks,FSBW,296 M,38.41,$7.44,$39.12,$4.31,12.014,1.148,10.26,
Banks,PNFP,"8,243 M",106.28,$7.43,$82.29,$6.16,7.7729,.953,8.5765,
Insurance,KMPR,"4,078 M",63.73,$7.40,$45.60,$5.35,12.338,2.537,4.2731,
Capital Markets,SF,"9,679 M",94.22,$7.40,$47.08,$5.24,11.483,1.5787,8.3211,
Capital Markets,HLNE,"6,457 M",149.00,$7.28,$22.77,$5.41,39.225,13.361,1.8296,
Banks,FBIZ,406 M,48.77,$7.28,$39.04,$5.48,14.694,1.2457,12.173,
Banks,WBS,"8,660 M",51.48,$7.19,$52.91,$4.44,8.6822,.9962,8.9998,
Banks,BANF,"4,112 M",123.705,$7.07,$50.32,$6.60,14.139,1.6676,8.3918,
Banks,CMA,"7,502 M",57.09,$7.04,$50.74,$5.29,11.174,.932,11.658,
Banks,BNS,"66,663 M",53.52,$7.01,$49.46,$3.46,7.9078,.4707,16.669,
Financial Services,APO,"74,689 M",130.69,$6.99,$29.06,$5.73,18.686,1.5213,23.829,
Banks,TCBI,"3,291 M",71.69,$6.94,$68.00,$1.74,2.982,.325,10.025,
Banks,MSBI,363 M,16.88,$6.93,$29.48,($1.02),-1.6303,-.1637,11.766,
Banks,GSBC,642 M,55.94,$6.86,$53.03,$5.60,11.126,1.1139,9.7732,
Capital Markets,SLRC,914 M,16.76,$6.78,$18.16,$1.61,8.8581,4.1154,2.527,
Banks,BPOP,"7,093 M",103.53,$6.68,$83.75,$9.68,12.543,.9497,12.815,
Banks,EFSC,"1,955 M",52.94,$6.58,$48.64,$5.09,10.824,1.2864,8.7282,
Capital Markets,ICE,"103,138 M",179.80,$6.58,$48.74,$4.83,10.421,2.0869,5.1072,
Banks,AX,"3,920 M",69.54,$6.56,$45.79,$7.33,17.795,1.8321,9.2097,
Banks,OZK,"4,992 M",44.33,$6.51,$48.29,$6.10,12.846,1.8961,7.1309,
Banks,HTB,633 M,36.09,$6.48,$32.53,$3.16,10.064,1.1745,8.061,
Insurance,CNO,"3,763 M",37.96,$6.43,$25.33,$2.88,12.47,1.1131,14.794,
Insurance,RLI,"7,055 M",76.87,$6.42,$17.48,$3.03,17.99,4.0527,3.5713,
Banks,HWC,"4,682 M",54.67,$6.39,$49.73,$5.42,11.601,1.3477,8.1218,
Banks,ZION,"6,989 M",47.36,$6.39,$42.43,$5.12,13.179,.9151,14.054,
Banks,BSRR,378 M,27.37,$6.35,$25.85,$2.83,11.575,1.1266,10.252,
