Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Biotechnology,AAPG,"2,126 M",24.40,<empty>,<empty>,<empty>,-235.32,-9.2513,9.9087,
Health Care Providers & Services,HNGE,"3,030 M",38.84,<empty>,<empty>,<empty>,-2.8277,-2.3565,-2.3114,
Biotechnology,NNNN,345 M,7.87,<empty>,<empty>,<empty>,14.826,7.1809,1.1006,
Pharmaceuticals,ZYBT,427 M,9.02,<empty>,<empty>,<empty>,7.153,3.8164,1.7312,
Life Sciences Tools & Services,MTD,"24,015 M",1155.52,$41.23,($8.76),$40.11,-498.52,21.217,-17.775,
Health Care Providers & Services,MCK,"89,939 M",719.51,$41.02,($16.59),$25.72,-211.42,4.3088,-36.23,
Biotechnology,REGN,"52,933 M",490.28,$27.52,$277.50,$39.43,15.961,6.9097,1.2776,
Health Care Providers & Services,UNH,"273,875 M",301.91,$27.07,$104.44,$23.82,22.7,7.0444,3.2596,
Biotechnology,UTHR,"14,382 M",318.85,$25.26,$151.02,$25.10,19.937,12.971,1.1376,
Health Care Providers & Services,CI,"84,588 M",316.64,$21.74,$149.04,$17.99,13.206,4.0259,3.7453,
Health Care Providers & Services,DVA,"10,298 M",136.26,$21.22,($3.46),$10.11,54.794,7.041,-64.092,
Health Care Providers & Services,CHE,"8,410 M",574.84,$21.14,$81.09,$20.53,26.106,14.09,1.461,
Biotechnology,AMGN,"154,956 M",288.18,$20.31,$11.54,$10.94,105.67,7.0367,14.398,
Health Care Providers & Services,HUM,"28,137 M",233.13,$19.76,$147.08,$14.16,10.099,4.7217,2.8691,
Health Care Providers & Services,HCA,"91,752 M",381.39,$19.46,($14.48),$22.47,1605.8,11.607,-16.993,
Health Care Providers & Services,COR,"56,449 M",291.24,$18.29,$5.23,$8.59,141.78,2.9738,70.292,
Biotechnology,GMAB,"12,903 M",20.95,$18.12,$83.61,$18.36,22.799,11.539,1.2436,
Life Sciences Tools & Services,TMO,"152,062 M",402.82,$17.65,$130.84,$17.06,13.704,5.0022,2.0053,
Life Sciences Tools & Services,MEDP,"8,476 M",294.90,$17.54,$19.94,$13.09,65.825,15.445,3.1963,
Biotechnology,BIIB,"19,018 M",129.79,$16.35,$115.90,$10.12,9.1905,5.4303,1.6511,
Health Care Providers & Services,UHS,"12,266 M",190.35,$16.01,$105.30,$17.80,18.473,7.568,2.1922,
Health Care Providers & Services,ELV,"86,723 M",383.84,$15.97,$188.37,$25.60,14.175,4.9296,2.8167,
Health Care Providers & Services,THC,"15,676 M",168.77,$14.77,$45.01,$15.09,28.816,7.2642,6.9928,
Health Care Providers & Services,LH,"20,839 M",248.97,$13.75,$99.13,$8.67,8.981,4.1804,2.1191,
Health Care Providers & Services,NUTX,934 M,167.74,$13.21,$35.65,$12.01,78.918,22.344,3.8655,
Life Sciences Tools & Services,ICLR,"10,353 M",130.28,$12.91,$119.56,$9.19,8.0089,4.4095,1.7602,
Life Sciences Tools & Services,IQV,"24,277 M",140.33,$12.03,$34.33,$7.35,21.64,5.2949,4.5712,
Life Sciences Tools & Services,BIO,"6,175 M",226.93,$11.83,$241.72,($77.10),-27.515,1.5483,1.4263,
Life Sciences Tools & Services,CRL,"6,662 M",135.63,$11.00,$65.04,($0.62),-.6712,4.265,2.3737,
Health Care Equipment & Supplies,RMD,"35,893 M",244.79,$10.62,$37.83,$8.91,25.811,14.012,1.3643,
Life Sciences Tools & Services,WAT,"20,783 M",349.24,$10.43,$32.98,$11.02,40.822,11.609,2.3398,
Health Care Equipment & Supplies,TFX,"5,403 M",122.27,$10.32,$91.67,$3.20,3.4779,4.8367,1.7492,
Health Care Equipment & Supplies,IDXX,"41,285 M",513.36,$10.21,$17.93,$10.82,59.33,22.982,2.2194,
Health Care Providers & Services,CAH,"36,861 M",154.44,$10.07,($12.33),$6.38,-60.426,3.1305,-16.917,
Health Care Providers & Services,DGX,"19,351 M",173.34,$9.51,$61.87,$7.91,13.952,6.1258,2.2798,
Health Care Equipment & Supplies,SYK,"146,232 M",382.64,$9.38,$54.77,$7.40,14.259,7.4861,2.1981,
Health Care Providers & Services,MOH,"16,533 M",305.04,$9.28,$79.81,$20.69,26.718,6.7282,3.8019,
Health Care Equipment & Supplies,BDX,"49,466 M",172.59,$8.97,$88.07,$5.16,5.8874,3.687,2.1579,
Biotechnology,PTCT,"3,846 M",48.52,$8.79,($2.34),$7.51,-110.19,24.418,-14.295,
Biotechnology,ABBV,"328,745 M",186.11,$8.70,$0.80,$2.34,88.4,8.3387,95.891,
Health Care Equipment & Supplies,ALGN,"13,115 M",180.94,$8.47,$51.94,$5.50,10.843,6.7189,1.6084,
Biotechnology,GILD,"136,932 M",110.08,$7.90,$15.39,$4.73,32.655,12.143,2.9451,
Health Care Equipment & Supplies,STE,"24,122 M",245.21,$7.89,$67.32,$6.16,9.4586,5.7808,1.5337,
Life Sciences Tools & Services,MLAB,549 M,100.62,$7.85,$29.30,($0.36),-1.2934,2.495,2.7113,
Pharmaceuticals,JNJ,"373,447 M",155.21,$7.72,$32.47,$8.98,29.447,7.7703,2.4795,
Health Care Equipment & Supplies,UFPT,"1,805 M",234.20,$7.69,$46.80,$8.15,19.36,10.917,1.7818,
Pharmaceuticals,MAZE,438 M,10.01,$7.66,$6.67,$0.34,34.383,23.068,1.1396,
Pharmaceuticals,NVS,"228,636 M",115.76,$7.47,$19.58,$6.38,32.887,11.422,2.6047,
Health Care Technology,VEEV,"45,578 M",279.70,$7.31,$38.16,$4.71,14.065,6.8982,1.2502,
Health Care Providers & Services,NHC,"1,611 M",104.14,$7.08,$64.98,$6.91,11.179,4.1634,1.5413,
