Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Machinery,IDTRY,"10,041 M",13.78,<empty>,<empty>,<empty>,17.392,7.2509,2.0487,
Ground Transportation,CAR,"4,286 M",121.79,$47.32,($80.17),($62.49),133.05,1.5402,-10.292,
Marine Transportation,ZIM,"2,102 M",17.45,$33.34,$32.86,$19.52,72.444,17.063,2.9035,
Aerospace & Defense,TDG,"82,477 M",1468.43,$32.78,($100.86),$29.66,-43.772,11.237,-3.8626,
Trading Companies & Distributors,URI,"46,044 M",708.38,$32.70,$135.22,$38.61,30.173,9.3153,3.1915,
Trading Companies & Distributors,GWW,"52,246 M",1087.56,$31.84,$72.39,$38.95,54.16,19.602,2.4879,
Construction & Engineering,EME,"21,120 M",471.86,$28.19,$65.08,$22.63,37.744,11.968,2.7386,
Construction & Engineering,VMI,"6,383 M",318.04,$25.87,$81.46,$17.19,22.177,9.5128,2.0645,
Machinery,PH,"84,934 M",664.70,$24.30,$104.80,$25.99,27.147,8.8209,2.1595,
Professional Services,CACI,"9,412 M",428.00,$21.86,$168.46,$21.19,13.484,6.316,2.3162,
Building Products,LII,"20,029 M",564.45,$21.73,$24.02,$22.45,131.48,19.844,4.0533,
Aerospace & Defense,LMT,"113,020 M",482.38,$21.06,$28.68,$23.17,82.547,8.3197,8.4796,
Machinery,SNA,"16,772 M",320.75,$20.62,$105.58,$19.11,19.538,10.828,1.4616,
Building Products,CSL,"16,444 M",380.18,$17.02,$50.15,$18.05,33.201,11.136,2.516,
Machinery,ALG,"2,394 M",198.04,$16.55,$88.35,$9.60,11.483,6.7082,1.4235,
Machinery,CAT,"163,684 M",348.03,$16.34,$38.36,$20.51,55.646,9.4026,4.7033,
Machinery,DE,"137,109 M",506.26,$15.90,$89.68,$20.67,23.912,4.3298,4.377,
Professional Services,RHLD,293 M,34.39,$14.87,$1.04,$12.54,-93.796,42.116,24.161,
Construction & Engineering,STRL,"5,718 M",188.01,$14.84,$26.48,$8.56,37.826,9.0692,2.5261,
Electrical Equipment,AYI,"8,032 M",259.89,$14.72,$82.10,$13.18,17.859,8.6833,1.8179,
Industrial Conglomerates,SPLP,766 M,40.00,$14.44,$59.36,$11.38,24.896,3.8244,3.1616,
Electrical Equipment,HUBB,"20,793 M",389.58,$14.36,$61.11,$14.79,25.917,10.069,2.1224,
Marine Transportation,MATX,"3,684 M",112.85,$14.28,$80.66,$15.15,20.475,8.5787,1.7192,
Construction & Engineering,FIX,"16,869 M",478.23,$14.21,$50.44,$16.66,37.809,12.102,2.5713,
Air Freight & Logistics,FDX,"52,257 M",218.10,$14.13,$111.28,$15.95,14.762,4.8792,3.1842,
Building Products,OC,"11,393 M",133.95,$12.96,$57.44,$7.14,12.26,9.3205,2.9222,
Aerospace & Defense,CW,"16,587 M",440.11,$12.80,$67.83,$11.24,17.404,7.9115,1.9349,
Aerospace & Defense,ESLT,"18,965 M",409.605,$12.74,$74.10,$7.89,11.251,3.2058,3.4364,
Building Products,TT,"95,958 M",430.27,$12.56,$33.52,$12.15,38.632,11.357,2.6855,
Aerospace & Defense,GD,"74,746 M",278.49,$12.23,$82.93,$14.41,18.228,5.6002,2.5458,
Trading Companies & Distributors,WSO,"17,970 M",443.57,$12.23,$70.35,$13.03,20.814,10.413,1.6714,
Aerospace & Defense,NOC,"69,772 M",484.77,$12.17,$104.00,$25.39,25.412,6.404,3.2346,
Electrical Equipment,GEV,"129,093 M",472.98,$12.12,$31.54,$6.93,19.641,1.7487,5.9904,
Aerospace & Defense,LHX,"45,678 M",244.34,$11.98,$101.98,$8.43,8.5208,4.0586,2.1561,
Construction & Engineering,AGX,"2,868 M",210.30,$11.97,$25.81,$6.15,26.59,7.6854,2.3766,
Trading Companies & Distributors,MGRC,"2,766 M",112.38,$11.95,$46.18,$9.65,22.803,6.5956,1.9731,
Construction & Engineering,MTZ,"12,303 M",155.93,$11.80,$36.99,$2.70,8.7225,3.3502,3.0724,
Machinery,KAI,"3,697 M",313.91,$11.64,$74.39,$9.42,13.323,7.7117,1.6387,
Machinery,MIDD,"7,815 M",146.13,$11.48,$69.57,$8.00,12.334,6.2836,1.9843,
Trading Companies & Distributors,AIT,"8,627 M",226.52,$11.42,$47.85,$9.98,22.23,10.557,1.7049,
Building Products,BLDR,"11,900 M",107.68,$11.21,$38.46,$7.84,19.621,7.7715,2.6171,
Professional Services,HURN,"2,464 M",142.83,$10.84,$30.19,$6.67,24.883,9.541,2.7587,
Commercial Services & Supplies,BYDGF,"3,185 M",148.35,$10.48,$38.49,$0.63,1.6326,2.6061,2.9866,
Professional Services,ADP,"132,140 M",325.53,$10.40,$14.41,$9.78,76.289,5.5714,9.6406,
Machinery,WTS,"8,081 M",242.12,$10.02,$53.09,$8.72,17.605,10.467,1.4111,
Construction & Engineering,PWR,"50,767 M",342.56,$9.71,$50.29,$6.19,13.731,5.0102,2.5661,
Machinery,GTLS,"7,168 M",156.86,$9.70,$66.69,$5.03,9.0349,4.71,3.1076,
Ground Transportation,UNP,"132,436 M",221.66,$9.70,$26.78,$11.10,42.468,8.9911,4.2703,
Machinery,ITW,"71,898 M",245.08,$9.63,$11.06,$11.37,107.58,16.544,4.7726,
Machinery,LECO,"10,807 M",193.59,$9.46,$24.01,$8.11,34.832,12.498,2.7049,
Electrical Equipment,ROK,"35,568 M",315.55,$9.44,$30.51,$7.94,24.438,7.1102,3.1966,
