Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Software,DGNX,"1,237 M",53.81,<empty>,<empty>,<empty>,22.927,-395.93,-.0673,
"Electronic Equipment, Instruments & Components",HPHTY,"2,958 M",4.95,<empty>,$6.75,$0.62,5.7188,3.3877,1.3726,
Software,SAIL,"9,807 M",17.62,<empty>,<empty>,<empty>,29.117,-1.5726,-1.3263,
Semiconductors & Semiconductor Equipment,SLTCY,"1,350 M",4.50,<empty>,<empty>,<empty>,2.0221,1.3096,2.5148,
Software,CNSWF,"76,792 M",3623.73,$104.48,$143.74,$34.95,26.064,7.4514,4.5621,
Software,FICO,"42,021 M",1726.28,$27.68,($46.16),$23.21,-62.062,28.703,-1.6332,
Semiconductors & Semiconductor Equipment,KLAC,"100,091 M",756.88,$26.27,$30.28,$27.49,104.1,19.229,3.7926,
Semiconductors & Semiconductor Equipment,ASML,"289,698 M",736.77,$25.57,$48.29,$23.95,55.618,15.335,2.5987,
"Electronic Equipment, Instruments & Components",TDY,"23,376 M",498.86,$22.56,$211.84,$17.49,8.6209,4.5502,1.5162,
Software,INTU,"210,178 M",753.47,$21.79,$72.11,$12.24,17.839,8.5652,1.8183,
Software,ROP,"61,313 M",570.27,$21.24,$178.80,$13.87,8.0948,4.1559,1.6344,
Software,ADBE,"176,911 M",415.09,$20.76,$30.10,$15.16,47.284,17.194,2.2875,
"Electronic Equipment, Instruments & Components",ZBRA,"14,736 M",289.77,$19.44,$70.91,$10.57,16.159,6.5394,2.1784,
IT Services,IT,"33,590 M",436.42,$19.41,$19.36,$16.06,113.19,9.0317,5.6613,
IT Services,FORTY,"1,687 M",110.00,$19.31,$44.48,$5.21,14.947,5.832,4.472,
"Electronic Equipment, Instruments & Components",ARW,"6,141 M",118.38,$18.77,$114.23,$7.28,6.6334,2.8119,3.612,
Software,NOW,"209,278 M",1011.09,$17.59,$48.99,$7.37,16.858,4.92,2.0685,
IT Services,ACN,"198,338 M",316.82,$15.55,$46.69,$12.12,26.965,11.576,2.0471,
Communications Equipment,FFIV,"16,390 M",285.38,$14.31,$57.22,$10.53,19.892,8.076,1.7823,
Communications Equipment,MSI,"69,333 M",415.38,$13.60,$9.83,$11.91,186.89,13,8.7953,
Software,TYL,"24,882 M",576.99,$13.22,$81.48,$6.63,8.8713,4.473,1.4781,
Software,CRM,"253,694 M",265.37,$13.18,$63.33,$6.39,10.312,5.0868,1.6255,
"Electronic Equipment, Instruments & Components",NSIT,"4,163 M",130.39,$12.97,$49.85,$5.12,11.366,3.3905,4.9798,
Semiconductors & Semiconductor Equipment,MPWR,"31,692 M",661.90,$12.94,$68.24,$37.62,67.946,11.995,1.1649,
"Electronic Equipment, Instruments & Components",PLXS,"3,556 M",131.26,$12.93,$49.84,$5.14,10.929,3.9069,2.2829,
IT Services,IBM,"240,769 M",259.06,$12.92,$28.92,$5.85,21.851,4.4694,5.4192,
Software,NICE,"10,495 M",165.93,$12.12,$55.24,$7.17,13.38,6.9659,1.4949,
Communications Equipment,UI,"23,912 M",395.29,$12.10,$7.21,$9.08,237.68,35.351,2.9769,
"Electronic Equipment, Instruments & Components",LFUS,"5,068 M",205.06,$11.81,$99.39,$3.81,3.868,4.5896,1.5829,
"Electronic Equipment, Instruments & Components",PLUS,"1,893 M",71.37,$11.15,$37.24,$4.05,11.491,5.0199,1.928,
"Electronic Equipment, Instruments & Components",JBL,"18,035 M",168.01,$10.96,$12.40,$4.18,24.104,4.6097,12.81,
