Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Metals & Mining,EVMNY,"11,874 M",59.30,<empty>,<empty>,<empty>,16.685,8.2667,2.0666,
Chemicals,NEU,"6,076 M",644.06,$50.39,$161.06,$50.24,35.978,12.807,2.1276,
Metals & Mining,AMR,"1,462 M",112.04,$17.84,$123.72,$2.04,1.6617,.9769,1.4865,
Metals & Mining,RS,"15,399 M",292.82,$17.54,$134.28,$14.01,10.291,6.3427,1.4595,
Chemicals,UAN,875 M,82.75,$11.79,$28.54,$7.13,25.163,7.6235,3.3613,
Chemicals,CF,"14,696 M",90.71,$10.59,$29.03,$7.60,20.794,8.7047,2.7841,
Construction Materials,EXP,"6,613 M",202.21,$10.58,$44.18,$13.77,33.517,12.058,2.2411,
Chemicals,WLKP,779 M,22.12,$10.53,$14.39,$1.49,38.977,16.03,2.7046,
Construction Materials,MLM,"33,009 M",547.55,$10.09,$150.65,$17.38,11.87,5.7855,1.9518,
Chemicals,SHW,"89,918 M",358.81,$8.69,$16.56,$10.59,70.217,9.8878,5.965,
Containers & Packaging,CCK,"11,465 M",98.50,$8.15,$23.41,$4.63,22.739,6.7993,5.1377,
Containers & Packaging,AVY,"13,894 M",177.73,$7.18,$27.63,$8.69,31.949,8.6469,3.8492,
Chemicals,KWR,"1,917 M",108.44,$7.01,$78.39,$5.29,6.7946,4.2823,1.9226,
Chemicals,SMG,"3,438 M",59.56,$6.68,($5.03),$0.63,-13.346,6.6865,-12.191,
Construction Materials,VMC,"35,017 M",265.07,$6.57,$61.58,$7.11,12.075,5.9812,2.0546,
Paper & Forest Products,SLVM,"2,157 M",52.97,$6.26,$22.31,$6.82,31.831,9.6065,2.8954,
Containers & Packaging,PKG,"17,381 M",193.17,$5.93,$50.39,$9.56,20.211,8.6751,1.9936,
Metals & Mining,RGLD,"11,723 M",178.12,$5.60,$48.73,$6.04,12.992,8.814,1.0797,
Containers & Packaging,ATR,"10,461 M",158.40,$5.36,$38.39,$5.47,15.054,7.1292,1.784,
Chemicals,ECL,"75,307 M",265.62,$5.30,$31.31,$7.35,24.774,7.7636,2.5199,
Chemicals,CBT,"4,013 M",74.69,$5.28,$26.57,$7.72,30.675,11.06,2.6517,
Paper & Forest Products,LPX,"6,268 M",90.07,$5.08,$24.17,$5.71,24.358,12.68,1.5189,
Chemicals,EMN,"9,049 M",78.37,$4.95,$50.87,$7.86,16.032,5.9515,2.55,
Metals & Mining,AEM,"59,406 M",117.99,$4.67,$43.05,$4.70,11.448,7.807,1.4137,
Chemicals,LYB,"18,156 M",56.49,$4.67,$37.81,$2.89,7.4365,3.8485,2.8822,
Chemicals,BCPC,"5,437 M",166.70,$4.66,$37.06,$4.17,11.938,7.5405,1.3383,
Chemicals,CE,"5,780 M",52.83,$4.59,$47.40,($15.10),-24.981,2.6635,4.473,
Metals & Mining,CRS,"11,698 M",235.00,$4.54,$35.80,$7.05,21.795,9.2497,1.8869,
Metals & Mining,ZEUS,331 M,29.65,$4.46,$51.44,$1.43,2.9532,2.4027,1.8543,
Chemicals,RPM,"14,620 M",113.84,$4.43,$20.82,$4.99,25.683,8.5639,2.4753,
Metals & Mining,SCCO,"73,098 M",90.91,$4.23,$11.56,$4.52,41.744,20.163,2.0684,
Chemicals,DSFIY,"29,466 M",11.19,$3.97,$88.24,$0.97,1.2235,.9354,1.4991,
Paper & Forest Products,STLJF,"3,154 M",56.765,$3.89,$24.96,$4.15,17.953,7.713,2.1351,
Metals & Mining,RYI,668 M,20.76,$3.85,$24.97,($0.21),-.608,.8605,3.1392,
Paper & Forest Products,MAGN,428 M,12.02,$3.82,$30.70,($7.33),-6.8006,1.3069,3.7155,
Metals & Mining,CMC,"5,265 M",46.59,$3.73,$35.42,$0.63,1.776,4.7779,1.6675,
Metals & Mining,NEM,"58,677 M",52.72,$3.72,$27.90,$4.38,16.66,7.8571,1.7767,
Metals & Mining,RIO,"96,554 M",59.43,$3.68,$34.03,$7.07,20.251,8.4752,1.8605,
Construction Materials,USLM,"2,943 M",102.78,$3.60,$18.64,$4.20,25.437,16.566,1.0997,
Construction Materials,CRH,"61,500 M",91.16,$3.42,$31.21,$4.74,15.355,6.2351,2.4586,
Chemicals,PPG,"25,149 M",110.80,$3.38,$30.52,$5.64,17.65,6.3012,3.0518,
Chemicals,HWKN,"2,777 M",133.49,$3.36,$22.25,$4.03,19.472,10.433,1.6726,
Containers & Packaging,GEF,"3,231 M",55.60,$3.16,$43.01,$4.43,10.78,4.4544,3.2277,
Chemicals,CTVA,"48,298 M",70.80,$3.05,$35.56,$1.65,4.6593,3.0787,1.7345,
Containers & Packaging,SLGN,"5,892 M",55.07,$2.96,$19.47,$2.69,14.52,4.7501,4.2086,
Containers & Packaging,SEE,"4,735 M",32.20,$2.87,$5.43,$2.06,43.404,6.9989,8.8347,
Metals & Mining,AU,"22,085 M",43.81,$2.85,$13.44,$3.06,24.676,9.1997,1.9768,
Metals & Mining,LUGDF,"11,616 M",48.23,$2.76,$5.41,$2.22,47.306,29.778,1.2392,
Chemicals,IOSP,"2,124 M",85.08,$2.75,$50.45,$1.08,2.2023,.8125,1.4084,
Chemicals,DD,"27,956 M",66.80,$2.67,$54.56,$0.03,.1988,3.3616,1.5758,
Chemicals,MTX,"1,802 M",56.78,$2.65,$50.37,($0.74),-1.1829,5.0331,2.1281,
Chemicals,NGVT,"1,509 M",41.37,$2.62,$6.44,($9.74),-88.142,7.6708,8.7643,
Containers & Packaging,CCDBF,"10,235 M",58.30,$2.53,$21.60,$3.33,16.68,6.9612,1.8678,
Containers & Packaging,TCLAF,"1,300 M",15.55,$2.22,$16.33,$1.33,8.5045,4.4946,1.842,
Chemicals,IFF,"19,583 M",76.56,$2.22,$51.53,($3.26),-6.035,1.6763,2.145,
Metals & Mining,CMP,800 M,19.21,$2.22,$5.68,($3.56),-46.318,.964,6.4774,
Metals & Mining,NUE,"25,235 M",109.36,$2.21,$86.97,$5.64,7.4042,3.8703,1.729,
Chemicals,KOP,615 M,30.72,$2.13,$24.90,$1.22,4.3047,6.4338,3.7968,
Metals & Mining,LIFZF,"1,343 M",20.98,$2.13,$6.87,$1.48,20.743,10.467,1.2727,
Chemicals,LNXSY,"2,634 M",6.10,$2.05,$54.60,($1.70),-3.0252,.3706,2.1827,
Metals & Mining,BHP,"124,306 M",48.99,$2.04,$8.97,$4.48,27.693,13.223,2.2129,
Metals & Mining,MTRN,"1,612 M",77.43,$2.02,$42.66,$0.49,1.1448,4.9514,1.9735,
Paper & Forest Products,WFG,"5,838 M",73.58,$1.97,$87.36,($0.04),.0282,.7713,1.2639,
Metals & Mining,WPM,"39,370 M",86.75,$1.94,$16.45,$1.36,8.5124,6.3953,1.0366,
Chemicals,ASIX,630 M,23.51,$1.89,$29.63,$3.11,11.262,4.4281,2.0469,
Chemicals,AXTA,"6,732 M",30.80,$1.86,$9.50,$2.05,23.146,6.7844,3.5699,
Chemicals,RYAM,257 M,3.85,$1.81,$10.31,($1.11),-10.034,1.6242,3.0774,
Chemicals,NTR,"28,776 M",59.03,$1.70,$49.24,$1.06,2.2581,2.8259,2.2077,
Metals & Mining,WS,"1,263 M",24.90,$1.66,$20.44,$2.14,10.671,5.3512,1.7778,
Chemicals,SXT,"4,014 M",94.53,$1.61,$25.92,$3.02,11.875,6.1602,1.9111,
Chemicals,FMC,"5,066 M",40.56,$1.61,$35.08,$3.07,8.8146,3.134,2.693,
Metals & Mining,ORLA,"3,437 M",10.57,$1.61,$1.38,$0.01,.3854,9.2843,4.0765,
Metals & Mining,DPMLF,"2,591 M",15.36,$1.52,$7.26,$1.33,19.849,11.798,1.1468,
Chemicals,AVNT,"3,307 M",36.13,$1.52,$25.11,$1.08,4.3463,3.4513,2.5285,
Metals & Mining,AA,"6,931 M",26.77,$1.50,$22.46,$3.61,15.351,7.1837,2.5063,
Metals & Mining,PAAS,"8,834 M",24.39,$1.47,$13.30,$0.86,6.5774,4.8746,1.496,
Metals & Mining,SXC,689 M,8.14,$1.44,$8.09,$1.09,14.886,5.543,2.437,
Chemicals,FUL,"3,025 M",55.82,$1.33,$32.79,$1.99,6.3523,4.7203,2.7915,
Chemicals,SQM,"8,692 M",30.43,$1.32,$18.39,$2.11,12.211,5.6001,2.1865,
Chemicals,PRM,"1,783 M",12.07,$1.30,$8.18,$0.90,11.758,3.9738,1.9773,
Metals & Mining,KGC,"18,095 M",14.75,$1.27,$5.85,$0.98,18.765,10.462,1.5209,
Containers & Packaging,MYE,474 M,12.69,$1.14,$7.43,$0.28,3.6912,5.2826,3.1859,
Paper & Forest Products,IFSPF,473 M,9.20,$1.12,$20.13,($3.60),-16.762,-1.4221,2.0421,
Chemicals,ESI,"5,185 M",21.38,$1.12,$10.39,$1.17,11.69,4.5238,1.9028,
Metals & Mining,FCX,"55,265 M",38.48,$1.11,$12.31,$1.22,14.062,7.4963,3.1672,
Chemicals,SASOF,"2,914 M",4.58,$1.09,$12.32,($4.10),-27.458,6.2352,2.4824,
Chemicals,SSL,"2,825 M",4.44,$1.09,$12.32,($4.10),-27.458,6.2352,2.4824,
Chemicals,CGIFF,933 M,8.20,$1.07,$4.79,$0.76,17.46,7.943,2.8696,
Containers & Packaging,BALL,"14,864 M",53.58,$0.96,$19.68,$1.75,8.2187,4.257,3.2792,
Metals & Mining,B,"32,945 M",19.16,$0.95,$14.22,$1.32,10.283,6.9239,1.969,
Metals & Mining,JINFF,"3,020 M",7.6175,$0.93,$4.68,$0.44,9.877,5.1624,1.6374,
Paper & Forest Products,SUZ,"10,725 M",8.68,$0.92,$5.43,($0.13),-2.2016,6.0175,4.043,
Metals & Mining,FNV,"32,519 M",168.80,$0.92,$32.66,$3.21,10.195,8.0313,1.0574,
Metals & Mining,GFI,"20,586 M",23.00,$0.87,$5.81,$1.38,25.844,13.506,1.95,
Metals & Mining,LUNMF,"8,112 M",9.47,$0.86,$6.14,$0.13,3.9308,4.9926,2.1559,
Metals & Mining,SIM,"4,211 M",27.40,$0.85,$19.69,$3.33,19.994,5.0995,1.2016,
Construction Materials,JHX,"10,016 M",23.30,$0.83,$5.03,$0.98,21.092,10.603,2.4196,
Metals & Mining,HMY,"9,078 M",14.59,$0.81,$3.90,$0.88,24.778,16.661,1.5034,
Chemicals,OLN,"2,235 M",19.41,$0.80,$17.42,$0.52,2.7513,2.4301,3.8161,
Metals & Mining,METC,495 M,9.04,$0.80,$6.50,($0.01),-.0816,-.2354,1.9303,
Metals & Mining,METCB,408 M,7.45,$0.80,$6.50,($0.01),-.0816,-.2354,1.9303,
Metals & Mining,MTAL,"1,003 M",12.16,$0.79,$6.74,($1.14),-19.838,3.4775,2.5339,
Metals & Mining,FSM,"1,796 M",5.85,$0.77,$4.76,$0.52,12.689,8.2815,1.4974,
Metals & Mining,CMCL,330 M,17.10,$0.77,$11.46,$1.28,12.756,11.733,1.6524,
Metals & Mining,HBM,"3,523 M",8.92,$0.70,$6.72,$0.39,5.9911,5.6224,2.0756,
Chemicals,ASH,"2,262 M",49.51,$0.69,$56.00,($1.86),-3.0212,2.2806,2.0449,
Metals & Mining,WDOFF,"2,007 M",13.36,$0.69,$2.95,$0.86,34.73,24.213,1.2827,
Metals & Mining,MNDJF,336 M,3.553,$0.67,$2.71,$0.59,25.14,18.99,1.4516,
Chemicals,MOS,"11,465 M",36.14,$0.67,$37.11,$1.15,3.2848,2.137,1.9681,
Chemicals,WLK,"9,109 M",71.03,$0.65,$81.18,$3.00,3.9221,2.1417,1.9895,
Construction Materials,KNF,"5,331 M",94.10,$0.65,$24.85,$3.18,13.753,6.5667,2.3307,
Containers & Packaging,TRS,"1,072 M",26.37,$0.64,$16.86,$0.77,4.6374,2.5945,2.03,
Chemicals,MATV,313 M,5.72,$0.63,$7.85,($8.22),-66.841,.8129,4.7928,
Containers & Packaging,SON,"4,492 M",45.54,$0.61,$24.82,$0.82,3.3284,3.6696,5.1796,
Metals & Mining,TFPM,"4,400 M",21.91,$0.60,$8.77,$0.02,.2803,1.5559,1.0184,
Metals & Mining,MT,"23,287 M",30.58,$0.59,$66.67,$1.53,2.2541,2.1762,1.786,
Construction Materials,LOMA,"1,479 M",12.67,$0.51,$7.05,$0.77,13.898,5.4187,1.7581,
Containers & Packaging,AMCR,"20,874 M",9.11,$0.50,$2.67,$0.56,20.796,4.9168,4.685,
Metals & Mining,BVN,"3,805 M",14.98,$0.50,$13.61,$1.90,14.552,3.522,1.5421,
Chemicals,IPI,503 M,37.76,$0.49,$39.99,($15.90),-35.32,.5117,1.2541,
Containers & Packaging,AMBP,"2,331 M",3.90,$0.49,($0.38),($0.03),-4.1237,2.2183,-22.926,
Metals & Mining,OR,"4,792 M",25.56,$0.48,$6.49,$0.16,2.5068,3.8488,1.144,
Metals & Mining,AGI,"10,888 M",25.89,$0.46,$8.56,$0.62,7.8549,6.4581,1.4911,
Chemicals,ICL,"8,556 M",6.63,$0.45,$4.53,$0.30,7.2984,4.1474,2.0005,
Metals & Mining,SAND,"2,592 M",8.84,$0.45,$4.80,$0.10,2.1253,2.6905,1.2953,
Chemicals,HUN,"1,936 M",11.14,$0.44,$17.10,($0.79),-2.1934,.8105,2.4507,
Chemicals,ECVT,875 M,7.45,$0.41,$5.95,($0.10),-1.6269,3.1089,2.5576,
