Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Specialized REITs,SMA,"2,026 M",36.54,<empty>,<empty>,<empty>,-1.5454,2.1242,6.979,
Real Estate Management & Development,MEQYF,"1,283 M",137.6984,$6.35,$125.13,$18.44,15.902,2.6518,2.2897,
Real Estate Management & Development,JLL,"10,572 M",222.70,$10.71,$143.94,$11.07,8.0585,3.5615,2.4317,
Residential REITs,ESS,"18,279 M",283.90,$16.11,$86.55,$10.45,12.811,2.8299,2.3674,
Retail REITs,SITC,625 M,11.92,$1.48,$9.95,$10.39,42.506,.6528,1.7893,
Specialized REITs,PSA,"54,105 M",308.41,$18.14,$29.73,$10.08,20.121,7.0621,3.7605,
Specialized REITs,EQIX,"86,943 M",888.82,$35.98,$141.99,$9.59,7.0587,3.1187,2.5977,
Residential REITs,AVB,"29,437 M",206.77,$11.31,$83.80,$8.03,9.692,2.906,1.7804,
Retail REITs,ALX,"1,150 M",225.19,$10.33,$31.93,$7.72,20.165,3.4787,8.1729,
Specialized REITs,SBAC,"24,915 M",231.89,$7.79,($46.01),$7.56,-16.089,9.3635,-2.1009,
Real Estate Management & Development,HHH,"4,057 M",68.31,$6.49,$55.71,$6.36,10.823,3.7253,3.3325,
Retail REITs,SPG,"53,230 M",163.07,$9.34,$7.86,$6.28,67.307,5.8257,12.672,
Specialized REITs,AMT,"100,486 M",214.65,$11.35,$7.55,$6.18,28.421,4.5326,17.556,
Industrial REITs,IIPR,"1,547 M",55.22,$8.47,$66.58,$5.20,7.9074,4.4201,1.2452,
Residential REITs,MAA,"18,337 M",156.65,$9.34,$50.89,$4.81,9.3677,3.4917,1.9853,
Hotel & Resort REITs,RHP,"6,117 M",97.11,$11.14,$8.96,$4.70,32.494,6.172,9.8566,
Industrial REITs,EGP,"8,904 M",169.55,$8.70,$64.09,$4.58,7.6138,3.3491,1.5271,
Real Estate Management & Development,NEN,262 M,75.00,$8.92,($20.19),$4.56,-22.78,4.4128,-5.4515,
Specialized REITs,EXR,"32,076 M",151.15,$8.90,$65.43,$4.26,6.3928,3.3291,2.0879,
Residential REITs,MHCUF,353 M,18.20,$2.88,$30.57,$4.14,19.817,3.0503,1.9024,
Specialized REITs,LAMR,"12,342 M",120.54,$7.66,$10.06,$4.11,38.251,5.078,6.3566,
Industrial REITs,PLD,"100,773 M",108.60,$5.41,$57.55,$4.01,6.8293,2.3763,1.7975,
Residential REITs,KMMPF,"1,712 M",14.2695,$0.39,$17.99,$3.78,22.263,2.6216,1.7445,
Retail REITs,FRT,"8,236 M",95.48,$5.99,$35.15,$3.47,9.4465,3.1697,2.8436,
Real Estate Management & Development,FOR,973 M,19.15,($8.16),$32.36,$3.29,10.793,4.4714,1.8498,
Real Estate Management & Development,CBRE,"37,269 M",125.02,$4.44,$28.06,$3.28,11.921,3.8896,3.1835,
Health Care REITs,NHI,"3,386 M",72.51,$4.71,$30.55,$3.16,10.309,4.5565,1.9509,
Industrial REITs,PLYM,738 M,16.20,$2.11,$12.54,$3.05,26.775,.9891,2.4628,
Real Estate Management & Development,FSV,"7,971 M",175.395,$4.84,$26.53,$2.88,12.271,5.3139,3.5122,
Real Estate Management & Development,CIGI,"6,099 M",120.48,$6.27,$26.49,$2.86,9.8133,3.921,4.5588,
Specialized REITs,GLPI,"12,835 M",46.70,$3.90,$15.34,$2.83,17.564,5.8954,2.8783,
Real Estate Management & Development,DRUNF,568 M,13.44,$0.09,$24.33,$2.73,11.763,2.0066,2.5904,
Residential REITs,EQR,"26,649 M",70.14,$4.15,$29.04,$2.62,8.9005,2.6434,1.8642,
Specialized REITs,RYN,"3,692 M",23.70,$0.92,$12.28,$2.36,18.872,7.0064,1.75,
Residential REITs,MNARF,477 M,13.48,$1.85,$39.63,$2.24,5.4589,2.317,2.3015,
Retail REITs,CBL,780 M,25.21,$6.63,$9.54,$2.16,22.044,3.1487,8.8959,
Retail REITs,NNN,"7,849 M",41.76,$3.50,$23.23,$2.14,9.3519,3.8893,2.0709,
Industrial REITs,FR,"6,545 M",49.43,$2.86,$20.02,$2.01,10.279,3.3047,2.055,
Industrial REITs,TRNO,"5,799 M",56.42,$2.51,$37.90,$1.98,5.3558,2.1176,1.2596,
Residential REITs,ELS,"12,154 M",63.57,$3.14,$9.15,$1.94,22.9,5.8506,3.2246,
Diversified REITs,WPC,"13,743 M",62.76,$4.86,$38.19,$1.94,5.0141,2.8973,2.0697,
Health Care REITs,LTC,"1,625 M",35.39,$3.01,$20.96,$1.93,9.3906,4.2342,1.8458,
Retail REITs,ADC,"8,284 M",75.30,$4.40,$49.81,$1.77,3.5469,2.3043,1.609,
Health Care REITs,WELL,"100,892 M",154.28,$3.95,$52.09,$1.73,3.48,1.7292,1.5695,
Specialized REITs,CUBE,"9,747 M",42.76,$2.76,$12.48,$1.69,13.337,4.6527,2.3698,
Office REITs,KRC,"3,809 M",32.20,$4.33,$45.29,$1.68,3.9372,1.8167,2.0309,
Specialized REITs,EPR,"4,236 M",55.69,$5.19,$30.51,$1.63,6.2391,4.0691,2.3838,
Office REITs,HIW,"3,202 M",29.70,$3.52,$22.09,$1.60,7.1637,2.2167,2.5505,
Health Care REITs,OHI,"10,708 M",37.00,$2.92,$16.56,$1.60,10.669,4.549,2.0472,
Specialized REITs,OUT,"2,760 M",16.52,$1.23,$3.39,$1.53,39.19,3.2088,9.0533,
Retail REITs,BFS,816 M,33.68,$4.41,$5.90,$1.47,12.387,3.6072,14.867,
Specialized REITs,SAFE,"1,081 M",15.07,$0.70,$32.78,$1.46,4.4398,2.854,2.9476,
Health Care REITs,UHT,550 M,39.71,$3.39,$12.43,$1.35,10.152,4.0261,3.331,
Diversified REITs,OLP,529 M,24.48,$1.99,$14.55,$1.35,9.6945,2.6626,2.6768,
Real Estate Management & Development,JOE,"2,603 M",44.71,$1.76,$12.50,$1.33,10.522,3.9111,2.126,
Industrial REITs,STAG,"6,640 M",35.58,$2.05,$18.58,$1.33,7.1531,2.6492,1.9752,
Diversified REITs,AAT,"1,219 M",19.94,$1.88,$19.60,$1.33,8.866,2.6474,2.4765,
Office REITs,CDP,"3,099 M",27.45,$2.96,$13.23,$1.24,9.4186,3.2152,2.8509,
Real Estate Management & Development,FPH,381 M,5.45,$2.86,$11.08,$1.24,10.917,1.4355,4.0796,
Industrial REITs,REXR,"8,341 M",35.24,$0.52,$36.70,$1.23,3.362,1.8442,1.5133,
