Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Electric Utilities,HRNNF,"21,970 M",36.63,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,
Independent Power & Renewable Electricity Producers,INGXF,"2,016 M",9.9935,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,
Independent Power & Renewable Electricity Producers,BEPC,"5,279 M",29.39,($1.53),$4.23,($0.74),-.4427,1.3172,31.312,
Multi-Utilities,BIP,"15,377 M",33.11,$0.79,$9.92,$0.01,4.4712,3.0882,22.607,
Independent Power & Renewable Electricity Producers,VST,"54,487 M",160.57,$4.82,$6.91,$6.38,41.676,6.3002,16.274,
Independent Power & Renewable Electricity Producers,AES,"7,183 M",10.09,($4.90),$4.87,$1.84,5.5833,2.3991,14.018,
Independent Power & Renewable Electricity Producers,TAC,"2,893 M",9.76,$0.51,$1.85,$0.00,2.289,2.6185,12.004,
Electric Utilities,NRG,"30,480 M",155.90,$11.13,$10.83,$6.20,44.913,6.3154,11.749,
Independent Power & Renewable Electricity Producers,BEP,"6,770 M",23.83,($4.74),$12.06,($0.71),-.1492,.7658,10.919,
Independent Power & Renewable Electricity Producers,RNW,"2,470 M",6.81,($1.43),$3.47,$0.04,1.6753,3.2634,8.9,
Independent Power & Renewable Electricity Producers,CWEN,"3,627 M",30.77,$4.56,$16.49,$0.79,-2.312,.9954,7.5383,
Independent Power & Renewable Electricity Producers,XIFR,829 M,8.82,$5.84,$33.16,($2.05),-5.8344,.4115,6.8662,
Electric Utilities,KEP,"14,187 M",11.05,$2.14,$44.36,$5.56,13.266,2.7685,5.9565,
Electric Utilities,EIX,"21,412 M",55.65,($1.89),$38.93,$7.04,15.001,2.7962,5.9037,
Electric Utilities,HE,"1,842 M",10.68,$0.57,$8.73,($9.25),-66.654,1.0629,5.8213,
Water Utilities,GWRS,279 M,10.15,($0.85),$2.81,$0.23,9.1092,1.4159,5.749,
Multi-Utilities,ACLLF,"4,212 M",37.47,$3.02,$29.24,$2.64,8.0759,2.8313,5.731,
Independent Power & Renewable Electricity Producers,TLN,"11,102 M",243.95,$0.29,$25.93,$10.79,28.332,.9139,4.9703,
Independent Power & Renewable Electricity Producers,BRLXF,"2,354 M",22.90,($3.25),$10.88,$0.07,2.0187,1.7105,4.7358,
Electric Utilities,PCG,"37,097 M",16.88,($0.82),$13.24,$1.09,8.2572,2.4255,4.6534,
Electric Utilities,TXNM,"5,253 M",56.69,($8.16),$27.03,$2.24,8.8631,2.5749,4.5484,
Multi-Utilities,CMS,"21,007 M",70.23,($2.98),$27.12,$3.38,11.234,3.0913,4.4748,
Multi-Utilities,CDUAF,"7,602 M",27.97,$0.76,$13.97,$1.02,6.7151,2.5689,4.44,
Electric Utilities,ETR,"37,171 M",83.28,($4.20),$35.25,$3.09,8.8532,3.0677,4.3872,
Electric Utilities,SO,"99,017 M",90.00,$0.00,$30.79,$4.17,12.244,3.4633,4.3769,
Gas Utilities,SPH,"1,224 M",18.84,$1.71,$8.45,$1.46,12.628,4.8369,4.3744,
Electric Utilities,FE,"24,206 M",41.94,($1.18),$21.77,$1.88,9.2738,2.9619,4.1992,
Multi-Utilities,DTE,"28,357 M",136.65,($3.22),$57.45,$7.39,13.296,2.9149,4.157,
Multi-Utilities,CNP,"24,308 M",37.24,($4.71),$16.78,$1.48,9.2206,2.9713,4.0608,
Electric Utilities,PNW,"10,893 M",91.23,($6.37),$56.44,$4.99,9.1897,2.5025,4.0419,
Electric Utilities,CEG,"95,953 M",306.15,($13.66),$41.34,$9.49,23.974,4.6755,4.033,
Electric Utilities,EXC,"44,238 M",43.82,($1.49),$27.35,$2.69,10.099,2.7551,3.9658,
Multi-Utilities,D,"48,328 M",56.67,($10.08),$30.92,$2.59,7.7188,2.8629,3.9643,
Electric Utilities,ES,"23,810 M",64.81,($3.95),$41.77,$2.32,5.6173,3.0913,3.9237,
Gas Utilities,NWN,"1,651 M",40.97,($4.05),$36.13,$2.61,7.3556,2.7355,3.919,
Electric Utilities,NEE,"145,422 M",70.64,($4.87),$24.20,$2.67,7.056,2.548,3.8999,
Electric Utilities,AEP,"55,284 M",103.49,($3.19),$51.16,$5.19,10.421,2.8901,3.8211,
Electric Utilities,DUK,"91,499 M",117.72,($0.24),$63.96,$6.00,9.4775,2.841,3.7724,
Multi-Utilities,AEE,"26,265 M",96.88,($7.05),$45.21,$4.51,10.159,2.6862,3.7372,
Multi-Utilities,NI,"18,612 M",39.54,($1.48),$18.90,$1.87,9.3641,3.2543,3.721,
Multi-Utilities,WEC,"34,288 M",107.44,$1.49,$40.66,$5.14,12.579,2.9873,3.7171,
Electric Utilities,XEL,"40,431 M",70.10,($5.63),$34.35,$3.40,10.259,2.1722,3.6735,
Gas Utilities,SUUIF,"1,317 M",5.67,$0.54,$4.34,$0.06,3.2611,3.6862,3.6174,
Electric Utilities,EMA,"13,662 M",45.86,($1.36),$28.73,$2.07,7.2107,2.7316,3.5441,
Multi-Utilities,UTL,891 M,54.83,($1.92),$32.86,$2.93,9.0726,3.2906,3.5413,
